epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.24337,1.47361,3.9661,1.22385,0.00658,0.98454,0.01,0.00512,1.02288,3.3551,0.99227,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327,0.00163298,0.000544327
2,15.4838,1.09513,2.24487,0.99916,0.99251,0.5,0.99307,0.62351,1.03344,1.92444,0.9638,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891,0.00326731,0.0010891
3,22.462,0.9959,1.1783,0.92556,0.99303,1,0.99252,0.70937,1.01666,0.90117,0.94083,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288,0.00486863,0.00162288
4,29.3369,0.96131,0.95259,0.91724,0.99414,1,0.9931,0.74522,0.89442,0.64892,0.9227,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,36.2375,0.96824,0.88211,0.92605,0.9942,1,0.99281,0.7237,0.94343,0.61545,0.94355,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,43.1211,0.94573,0.7913,0.91589,0.99435,1,0.99165,0.75338,0.92171,0.53915,0.93648,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,50.0577,0.93172,0.76128,0.91664,0.99419,1,0.99124,0.73783,0.91169,0.55303,0.93583,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,56.9262,0.93839,0.7214,0.92201,0.99406,1,0.99021,0.72577,0.98896,0.56987,0.9743,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,63.8483,0.92177,0.68278,0.91667,0.99425,1,0.99213,0.74734,0.89983,0.50582,0.94595,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,70.6625,0.91788,0.67153,0.91512,0.99439,1,0.99376,0.75615,0.89612,0.51929,0.92656,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,77.5086,0.90971,0.63417,0.91386,0.99435,1,0.99324,0.74398,0.89717,0.51423,0.93755,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,84.3741,0.92064,0.624,0.9171,0.99434,1,0.9937,0.75192,0.88551,0.48365,0.93361,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,91.2515,0.90162,0.60546,0.9115,0.99421,1,0.9916,0.73576,0.91849,0.46437,0.94483,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,98.1022,0.90484,0.59832,0.91318,0.994,1,0.99018,0.73837,0.94616,0.47054,0.95158,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,104.932,0.91497,0.58438,0.91854,0.99441,1,0.99321,0.73855,0.90695,0.46241,0.94162,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,111.804,0.89507,0.56858,0.90858,0.99425,1,0.99052,0.7435,0.91849,0.4566,0.9395,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,118.719,0.88774,0.54998,0.90925,0.9945,1,0.99036,0.75848,0.88452,0.44752,0.93354,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,125.566,0.89263,0.54493,0.91417,0.99452,1,0.99214,0.76052,0.88539,0.41638,0.93466,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,132.439,0.91045,0.53465,0.91245,0.99444,1,0.99279,0.75731,0.87673,0.41607,0.93172,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,139.289,0.89583,0.5293,0.91699,0.9945,1,0.99021,0.72928,0.9062,0.41974,0.94231,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,146.14,0.90588,0.51917,0.91082,0.99439,1,0.99447,0.74994,0.9071,0.36952,0.94364,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,152.976,0.89227,0.51416,0.91885,0.99434,1,0.9939,0.75343,0.8813,0.37049,0.94017,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,159.825,0.90699,0.52346,0.9203,0.99429,1,0.99393,0.75619,0.88087,0.38195,0.94041,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
24,166.655,0.90099,0.50453,0.91815,0.99444,1,0.98995,0.74984,0.8821,0.38632,0.93868,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
25,173.548,0.89816,0.4962,0.91583,0.9943,1,0.99072,0.73881,0.89845,0.37338,0.94391,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
26,180.397,0.89983,0.49107,0.91731,0.99433,1,0.99088,0.73921,0.89933,0.38747,0.94324,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
27,187.231,0.89079,0.48343,0.90962,0.99444,1,0.99285,0.74567,0.89504,0.36469,0.93891,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
28,194.074,0.89432,0.47884,0.91806,0.99418,1,0.99216,0.76161,0.89485,0.34614,0.93421,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
29,201.003,0.88924,0.47449,0.91538,0.99435,1,0.99031,0.74859,0.8895,0.3324,0.94152,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
30,207.837,0.88455,0.4711,0.91072,0.99439,1,0.99183,0.74523,0.89884,0.39062,0.94191,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,214.681,0.88729,0.46348,0.91377,0.99438,1,0.99195,0.75313,0.88121,0.35717,0.92727,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,221.501,0.88078,0.45929,0.91133,0.99437,1,0.99072,0.75242,0.91058,0.34044,0.9456,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,228.424,0.88879,0.45883,0.91625,0.99433,1,0.99227,0.75041,0.87983,0.34175,0.94014,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,235.281,0.89066,0.45801,0.91794,0.99427,1,0.9916,0.74695,0.90384,0.35417,0.94285,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,242.162,0.88626,0.45958,0.91658,0.99439,1,0.99234,0.74342,0.91909,0.36328,0.94797,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,249.014,0.88761,0.43953,0.91335,0.99434,1,0.99231,0.75144,0.89231,0.34547,0.95039,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,255.943,0.88707,0.44045,0.91479,0.99432,1,0.99214,0.74712,0.89797,0.35901,0.94622,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,262.8,0.9023,0.4496,0.92486,0.99401,1,0.9933,0.75481,0.89796,0.35648,0.94643,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,269.661,0.88471,0.4374,0.91616,0.99412,1,0.99235,0.7555,0.88189,0.33198,0.9385,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,276.491,0.87888,0.43362,0.91798,0.9943,1,0.99279,0.7537,0.88148,0.34519,0.93813,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,283.379,0.87638,0.42763,0.90956,0.99442,1,0.9922,0.75666,0.87501,0.34761,0.9422,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,290.172,0.87382,0.42009,0.91594,0.99422,1,0.99165,0.74936,0.89072,0.35965,0.94669,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,297.01,0.86696,0.41744,0.91048,0.99427,1,0.99195,0.76127,0.88154,0.36362,0.93887,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,303.843,0.85958,0.41896,0.91386,0.99428,1,0.99134,0.76178,0.87785,0.34255,0.93501,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,311.048,0.87278,0.4178,0.9164,0.99405,1,0.99399,0.76078,0.88938,0.36437,0.94011,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,318.179,0.88702,0.42752,0.91931,0.99436,1,0.99057,0.76052,0.91854,0.34004,0.94852,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,325.003,0.87756,0.41824,0.91262,0.99418,1,0.99233,0.77328,0.88776,0.34735,0.93699,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,331.851,0.87462,0.41284,0.91304,0.99467,1,0.99036,0.76622,0.90672,0.3574,0.94405,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,338.695,0.88268,0.40493,0.91599,0.99468,1,0.99082,0.77057,0.89109,0.33255,0.93387,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,345.509,0.86427,0.40521,0.91019,0.99468,1,0.99266,0.77234,0.87575,0.3478,0.933,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,352.38,0.88274,0.40846,0.91523,0.99468,1,0.99113,0.78553,0.88129,0.34725,0.92802,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,359.311,0.87245,0.40507,0.91795,0.99441,1,0.99206,0.75775,0.8876,0.32547,0.9342,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
