epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.41479,2.35549,4.17162,1.63275,0.00675,1,0.33899,0.14476,1.21552,3.33958,0.9999,0.00164642,0.000548807,0.00164642,0.000548807,0.00164642,0.000548807,0.00164642,0.000548807
2,15.6149,1.41604,2.57953,1.04363,0.99872,1,0.995,0.56472,1.28819,1.35312,1.076,0.00324781,0.0010826,0.00324781,0.0010826,0.00324781,0.0010826,0.00324781,0.0010826
3,22.3924,1.38284,1.5057,1.03548,0.99797,1,0.995,0.57309,1.31529,0.96392,1.14309,0.0047832,0.0015944,0.0047832,0.0015944,0.0047832,0.0015944,0.0047832,0.0015944
4,29.1331,1.31335,1.28999,1.03144,0.99805,1,0.995,0.56163,1.47263,0.90358,1.16015,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,35.9448,1.29295,1.14865,1.03663,0.99802,1,0.995,0.56389,1.34292,0.97613,1.12192,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,42.7121,1.28906,1.08886,1.03933,0.99889,1,0.995,0.4983,1.54485,0.92181,1.21422,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,49.4604,1.2833,1.04203,1.05041,0.99881,1,0.995,0.652,1.24096,0.72656,1.10693,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,56.2424,1.26332,1.0364,1.05472,0.99898,1,0.995,0.62793,1.22185,0.70995,1.15267,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,62.9839,1.26144,0.982,1.06317,0.99827,1,0.995,0.58873,1.17916,0.79225,1.11039,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,69.711,1.25502,0.94641,1.06543,0.99943,1,0.995,0.64082,1.2113,0.67661,1.1241,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,76.4898,1.26383,0.89973,1.05751,0.99875,1,0.995,0.6558,1.1495,0.65763,1.11945,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,83.2265,1.27376,0.91541,1.07068,0.99941,1,0.995,0.65206,1.16913,0.65211,1.12694,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,90.0118,1.24945,0.89833,1.0697,0.99901,1,0.995,0.57026,1.25944,0.79487,1.17088,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,96.7595,1.24874,0.8977,1.07105,0.9984,1,0.995,0.63234,1.21192,0.77727,1.15493,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,103.476,1.25556,0.85522,1.06634,0.99889,1,0.995,0.56875,1.27811,0.72966,1.16228,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,110.457,1.23949,0.84143,1.05414,0.99874,1,0.995,0.66508,1.14661,0.69691,1.1341,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,117.199,1.25201,0.83954,1.06462,0.99889,1,0.995,0.62117,1.17449,0.67713,1.13786,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,123.955,1.25732,0.8234,1.06204,0.99866,1,0.995,0.61638,1.21672,0.7183,1.15461,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,130.696,1.24025,0.81593,1.06907,0.99865,1,0.995,0.66062,1.22091,0.69471,1.16656,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,137.468,1.24527,0.80704,1.06858,0.99882,1,0.995,0.5904,1.36741,0.71801,1.23871,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,144.232,1.25319,0.81223,1.07384,0.99922,1,0.995,0.60902,1.28566,0.70155,1.16581,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,150.924,1.24528,0.80872,1.06808,0.99914,1,0.995,0.61416,1.26421,0.71696,1.18338,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,157.639,1.23856,0.77173,1.06462,0.99924,1,0.995,0.6212,1.27535,0.67771,1.19204,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,164.355,1.24038,0.77514,1.06733,0.99913,1,0.995,0.60495,1.19631,0.68834,1.17041,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,171.06,1.24869,0.77629,1.07555,0.999,1,0.995,0.60362,1.29745,0.69848,1.19976,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
