epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.12276,3.04606,5.66314,1.81476,0.00278,0.83333,0.00325,0.00072,2.8976,4.6029,1.6298,0.00132,0.00044,0.00132,0.00044,0.00132,0.00044,0.00132,0.00044
2,13.6998,1.91197,4.43255,1.18215,0.00237,0.71111,0.00583,0.00162,1.60969,4.02978,1.20289,0.0026109,0.0008703,0.0026109,0.0008703,0.0026109,0.0008703,0.0026109,0.0008703
3,20.2147,1.29443,3.02938,0.95937,0.00333,1,0.995,0.68785,1.0542,2.97044,0.90177,0.00381072,0.00127024,0.00381072,0.00127024,0.00381072,0.00127024,0.00381072,0.00127024
4,26.6627,1.1912,1.82685,0.95911,0.99695,1,0.995,0.64779,1.2308,2.19775,0.9304,0.00491946,0.00163982,0.00491946,0.00163982,0.00491946,0.00163982,0.00491946,0.00163982
5,32.9992,1.15923,1.55852,0.93533,0.99773,1,0.995,0.69855,1.0318,1.6821,0.90413,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
6,39.3965,1.134,1.36211,0.93292,0.99871,1,0.995,0.72258,1.00154,1.38655,0.8904,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
7,45.7545,1.06447,1.26577,0.92594,0.99908,1,0.995,0.70105,0.99053,1.10015,0.89083,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,52.1587,1.02131,1.15045,0.91057,0.99928,1,0.995,0.69622,1.03518,0.92368,0.90236,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,58.4897,1.01613,1.06178,0.90272,0.99933,1,0.995,0.70132,0.99237,0.89958,0.9007,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,64.8455,1.03194,1.01284,0.90902,0.99937,1,0.995,0.71452,1.04468,0.76711,0.92413,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,71.2183,0.97158,0.99925,0.89458,0.99939,1,0.995,0.72439,0.97029,0.76142,0.90247,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,77.6185,1.00199,0.94551,0.90211,0.99938,1,0.995,0.71118,1.08143,0.70177,0.9442,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,84.0028,1.02106,0.95321,0.90438,0.99938,1,0.995,0.71553,1.00595,0.62674,0.91204,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
