epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.6893,3.29763,6.67794,2.16011,0,0,0,0,2.12283,4.55054,1.49805,0.00195238,0.000650794,0.00195238,0.000650794,0.00195238,0.000650794,0.00195238,0.000650794
2,24.7009,1.90658,3.92272,1.2744,1,0.6456,0.995,0.45552,1.86205,2.69997,1.31557,0.00387412,0.00129137,0.00387412,0.00129137,0.00387412,0.00129137,0.00387412,0.00129137
3,36.4654,1.65527,2.05922,1.1537,0.99869,1,0.995,0.41121,1.8936,1.88155,1.23666,0.00571667,0.00190556,0.00571667,0.00190556,0.00571667,0.00190556,0.00571667,0.00190556
4,48.1865,1.61329,1.8076,1.10988,0.99941,1,0.995,0.47853,1.70764,1.45801,1.16115,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,59.9191,1.55692,1.52348,1.08087,0.99951,1,0.995,0.51601,1.75243,1.23877,1.20211,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,71.5675,1.53904,1.33565,1.07899,0.99957,1,0.995,0.50549,1.73616,0.98692,1.20033,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,83.266,1.4995,1.2515,1.07541,0.9993,1,0.995,0.51295,1.68821,0.8755,1.16573,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,94.8852,1.47699,1.15429,1.0773,0.99943,1,0.995,0.49683,1.75035,0.88894,1.24328,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,106.565,1.5224,1.09704,1.08141,0.99953,1,0.995,0.51127,1.73769,0.82107,1.21202,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,118.268,1.50506,1.05851,1.08317,0.99952,1,0.995,0.50989,1.75493,0.75947,1.21481,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,129.992,1.49303,0.98505,1.04928,0.99956,1,0.995,0.52269,1.71953,0.88707,1.21641,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,141.663,1.49762,0.93961,1.06302,0.99962,1,0.995,0.54913,1.72664,0.76838,1.2301,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,153.352,1.4752,0.88671,1.0682,0.99959,1,0.995,0.55777,1.7292,0.74666,1.22147,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
