epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.85714,2.94542,4.45903,2.55417,0.00016,0.02536,9e-05,2e-05,2.38508,4.05563,2.46726,0.00094314,0.00031438,0.00094314,0.00031438,0.00094314,0.00031438,0.00094314,0.00031438
2,18.5362,1.96067,4.1569,1.86718,0.00164,0.17391,0.0014,0.00062,1.28467,3.75486,1.43591,0.00189095,0.000630318,0.00189095,0.000630318,0.00189095,0.000630318,0.00189095,0.000630318
3,27.0591,1.39165,3.50623,1.26326,0.00342,0.33333,0.00404,0.00185,1.15051,3.36344,1.0979,0.00279972,0.00093324,0.00279972,0.00093324,0.00279972,0.00093324,0.00279972,0.00093324
4,35.4039,1.27226,2.38755,1.10155,0.85824,1,0.995,0.63987,1.28093,1.36069,1.13211,0.00366944,0.00122315,0.00366944,0.00122315,0.00366944,0.00122315,0.00366944,0.00122315
5,43.6937,1.22292,1.38765,1.08002,0.99888,1,0.995,0.66794,1.13298,0.8439,1.04442,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,52.0066,1.18644,1.1535,1.03621,0.99861,1,0.995,0.67651,1.13313,0.76766,1.01611,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,60.37,1.14418,1.01229,1.02639,0.9976,1,0.995,0.68775,1.09503,0.74201,1.00274,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,68.7123,1.12091,0.95986,1.02136,0.99922,1,0.995,0.67646,1.07073,0.70502,0.9929,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,77.0946,1.09995,0.88517,1.01679,0.99863,1,0.995,0.66864,1.12232,0.68144,1.00513,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,85.4523,1.07403,0.86873,1.00547,0.99824,1,0.995,0.67799,1.05595,0.68909,0.9815,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,93.9326,1.08392,0.82525,0.99481,0.99907,1,0.995,0.68662,1.05995,0.64206,0.98119,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,102.189,1.06868,0.80065,0.99098,0.99867,1,0.995,0.68211,1.06106,0.65152,0.98444,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,110.664,1.08424,0.7945,1.00053,0.99842,1,0.995,0.68898,1.05459,0.64037,0.984,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,118.907,1.05635,0.76208,0.9894,0.99796,1,0.995,0.70154,1.03903,0.60349,0.97366,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,127.289,1.0489,0.73697,0.98072,0.99858,1,0.995,0.70164,1.04706,0.60027,0.97117,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,135.535,1.0487,0.74759,0.98601,0.99862,1,0.995,0.70228,1.05737,0.59864,0.96942,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,143.899,1.04656,0.73482,0.98654,0.99858,1,0.995,0.70674,1.01822,0.58231,0.96689,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,152.276,1.06216,0.74121,0.98538,0.99771,1,0.995,0.70372,1.0156,0.59668,0.95932,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,160.748,1.03721,0.73136,0.98915,0.99807,1,0.995,0.69812,1.02887,0.58742,0.96072,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,169.071,1.04739,0.7218,0.9884,0.99817,1,0.995,0.70885,1.0117,0.57412,0.96083,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,177.567,1.02969,0.71517,0.98259,0.99779,1,0.995,0.70094,1.00299,0.58102,0.95763,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,186.06,1.03139,0.70548,0.97891,0.9974,1,0.995,0.70527,1.01654,0.56808,0.95983,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,194.514,1.0423,0.70773,0.98366,0.99731,1,0.995,0.70263,1.03157,0.54369,0.97251,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,202.871,1.04,0.69814,0.98281,0.99794,1,0.995,0.70501,1.00323,0.56192,0.95882,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,211.166,1.03396,0.70564,0.97979,0.99762,1,0.995,0.71254,0.97598,0.57257,0.94936,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,219.505,1.0149,0.68559,0.97581,0.99725,1,0.995,0.711,0.98632,0.56743,0.94923,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,227.846,1.03803,0.7027,0.98278,0.99702,1,0.995,0.70777,0.98963,0.55171,0.9547,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,236.093,1.02641,0.69002,0.98092,0.99742,1,0.995,0.70906,0.97972,0.56032,0.9469,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,244.381,1.02466,0.68639,0.98022,0.99828,1,0.995,0.69445,0.98325,0.55343,0.94756,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,252.691,1.00916,0.67974,0.97727,0.99807,1,0.995,0.70765,0.98278,0.53806,0.95147,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
