epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.7276,2.94542,4.45903,2.55417,0.00016,0.02536,9e-05,2e-05,2.38508,4.05563,2.46726,0.00094314,0.00031438,0.00094314,0.00031438,0.00094314,0.00031438,0.00094314,0.00031438
2,16.8076,1.96577,4.15873,1.87074,0.00295,0.29348,0.00428,0.00114,1.30109,3.74654,1.45255,0.00186549,0.000621829,0.00186549,0.000621829,0.00186549,0.000621829,0.00186549,0.000621829
3,25.5462,1.39569,3.51648,1.26663,0.00719,0.58152,0.00742,0.00372,1.16459,3.34941,1.08293,0.00272276,0.000907586,0.00272276,0.000907586,0.00272276,0.000907586,0.00272276,0.000907586
4,34.0345,1.27494,2.43243,1.10159,0.81894,1,0.96584,0.62052,1.28752,1.45961,1.14835,0.00351495,0.00117165,0.00351495,0.00117165,0.00351495,0.00117165,0.00351495,0.00117165
5,41.721,1.22395,1.41107,1.08212,0.99932,1,0.995,0.66635,1.12635,0.84975,1.03756,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037
6,49.4656,1.18667,1.16296,1.0371,0.99836,1,0.995,0.67972,1.13715,0.77082,1.01811,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322
7,57.1466,1.14455,1.02006,1.02434,0.99771,1,0.995,0.68499,1.10513,0.72814,1.00904,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
8,64.8842,1.12402,0.96664,1.01979,0.99921,1,0.995,0.68949,1.08717,0.70665,1.00468,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
9,72.6236,1.09906,0.8915,1.015,0.99909,1,0.995,0.66417,1.10599,0.6767,0.99766,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
10,80.421,1.07475,0.872,1.00459,0.99853,1,0.995,0.68507,1.04955,0.6851,0.98558,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
11,88.3602,1.08714,0.83353,0.99227,0.9988,1,0.995,0.68151,1.05593,0.64963,0.98707,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
12,96.2154,1.06666,0.80549,0.98671,0.99837,1,0.995,0.68511,1.04508,0.64012,0.9839,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
