epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.0979,1.52279,3.70406,1.48698,0.00668,1,0.06275,0.03794,1.17445,3.1618,1.13492,0.00120024,0.00040008,0.00120024,0.00040008,0.00120024,0.00040008,0.00120024,0.00040008
2,19.1895,1.01997,2.99475,1.11091,0.0067,1,0.50264,0.30524,0.91963,2.77667,1.06416,0.00240197,0.000800657,0.00240197,0.000800657,0.00240197,0.000800657,0.00240197,0.000800657
3,28.2573,0.96955,1.83378,1.06215,0.99599,1,0.995,0.77339,0.89701,1.66857,0.92422,0.00355419,0.00118473,0.00355419,0.00118473,0.00355419,0.00118473,0.00355419,0.00118473
4,37.3841,0.91434,1.11987,0.99756,0.99811,1,0.995,0.77163,0.83245,1.14508,0.90894,0.0046569,0.0015523,0.0046569,0.0015523,0.0046569,0.0015523,0.0046569,0.0015523
5,46.3268,0.88606,0.99464,0.9699,0.99722,1,0.995,0.75442,0.93154,1.04149,0.9055,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,54.9855,0.84522,0.88679,0.94233,0.99874,1,0.995,0.78323,0.80019,0.78918,0.86487,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,63.8009,0.85054,0.82474,0.92955,0.99888,1,0.995,0.78658,0.79514,0.63286,0.85799,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,72.7212,0.8194,0.78849,0.92213,0.99906,1,0.995,0.79008,0.78652,0.56563,0.87301,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,81.7018,0.82656,0.75694,0.92201,0.99893,1,0.995,0.76641,0.84726,0.52992,0.89071,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,90.4874,0.80888,0.71743,0.91271,0.99939,1,0.995,0.79468,0.81113,0.55376,0.8632,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,99.3589,0.78022,0.69866,0.90859,0.99911,1,0.995,0.79356,0.78671,0.5508,0.86087,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,108.331,0.7973,0.68478,0.91051,0.99935,1,0.995,0.78536,0.80849,0.53572,0.86004,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,117.171,0.79182,0.68552,0.90728,0.99934,1,0.995,0.7898,0.80525,0.51369,0.86484,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,125.959,0.77697,0.65103,0.91107,0.99924,1,0.995,0.76712,0.79269,0.52254,0.85482,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,134.909,0.7912,0.6516,0.90204,0.99931,1,0.995,0.79159,0.78976,0.50139,0.86034,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,143.965,0.78614,0.63411,0.91181,0.99934,1,0.995,0.78088,0.80005,0.48721,0.85741,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,152.785,0.78647,0.62514,0.90893,0.99925,1,0.995,0.76133,0.79809,0.518,0.86896,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,161.709,0.77055,0.60259,0.90175,0.99915,1,0.995,0.78662,0.78209,0.49505,0.86237,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,170.556,0.77083,0.5925,0.90141,0.99931,1,0.995,0.79398,0.78462,0.48632,0.84978,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,179.523,0.77921,0.60224,0.90602,0.99941,1,0.995,0.78028,0.78094,0.52521,0.85549,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,188.268,0.76177,0.57498,0.90207,0.99923,1,0.995,0.77809,0.79748,0.49583,0.86969,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,197.097,0.76725,0.58152,0.90421,0.99941,1,0.995,0.79048,0.78717,0.5102,0.87272,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,205.829,0.78582,0.58287,0.91147,0.99931,1,0.995,0.78717,0.78164,0.42667,0.86049,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,214.652,0.78835,0.57735,0.90384,0.99941,1,0.995,0.78648,0.78727,0.48832,0.86365,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,223.349,0.75828,0.55375,0.89532,0.99902,1,0.995,0.79104,0.78139,0.44196,0.85586,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,232.198,0.74779,0.56051,0.89688,0.99923,1,0.995,0.7786,0.7961,0.4637,0.85258,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,241.107,0.76746,0.55315,0.91233,0.9991,1,0.995,0.79219,0.77811,0.45859,0.84445,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,249.943,0.76538,0.54852,0.9004,0.99917,1,0.995,0.78546,0.78735,0.45763,0.8552,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,258.731,0.77909,0.54059,0.90059,0.99941,1,0.995,0.78333,0.80315,0.48459,0.86321,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,267.485,0.74469,0.53041,0.89495,0.99931,1,0.995,0.78639,0.78995,0.42986,0.86185,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,276.225,0.76049,0.52844,0.90469,0.99942,1,0.995,0.78046,0.77023,0.43756,0.85942,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,284.981,0.76073,0.5193,0.89987,0.99933,1,0.995,0.78301,0.80718,0.44159,0.87796,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,293.834,0.76193,0.51056,0.89914,0.99943,1,0.995,0.78238,0.7907,0.44102,0.86964,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,302.574,0.76814,0.52305,0.90176,0.99929,1,0.995,0.78556,0.79843,0.44548,0.86822,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,311.262,0.75888,0.51397,0.89987,0.99928,1,0.995,0.78873,0.77951,0.44037,0.86559,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,320.167,0.75196,0.50795,0.89683,0.9994,1,0.995,0.78226,0.76717,0.43302,0.86387,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,328.956,0.76007,0.49973,0.89571,0.99945,1,0.995,0.79488,0.76309,0.48703,0.86596,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,337.796,0.75089,0.50037,0.89815,0.99927,1,0.995,0.78651,0.74996,0.47275,0.85829,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,346.673,0.74673,0.49269,0.90741,0.99928,1,0.995,0.77792,0.77713,0.42976,0.86047,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,355.659,0.73616,0.49047,0.90127,0.99931,1,0.995,0.78042,0.7963,0.42282,0.86143,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,363.939,0.73697,0.61126,0.88126,0.99914,1,0.995,0.78476,0.78952,0.45138,0.84921,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,371.971,0.73832,0.60731,0.87419,0.99897,1,0.995,0.78035,0.79291,0.476,0.85291,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,379.977,0.74081,0.58317,0.87713,0.99932,1,0.995,0.78818,0.79506,0.41842,0.85823,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,387.975,0.73463,0.57634,0.88601,0.99939,1,0.995,0.78342,0.80096,0.42993,0.8622,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,395.921,0.73363,0.57632,0.88144,0.9994,1,0.995,0.78147,0.77972,0.42297,0.85795,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,403.763,0.73337,0.57552,0.88009,0.99937,1,0.995,0.79116,0.78078,0.43807,0.86146,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,411.675,0.73127,0.57053,0.88224,0.99939,1,0.995,0.785,0.79535,0.44703,0.8652,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,419.592,0.7255,0.5651,0.88013,0.99937,1,0.995,0.7855,0.78505,0.42948,0.85927,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,427.579,0.73073,0.56543,0.88225,0.99934,1,0.995,0.78343,0.76891,0.42307,0.8597,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,435.512,0.72984,0.5603,0.87903,0.99933,1,0.995,0.788,0.76552,0.41582,0.86037,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
