epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.4248,2.65595,5.06714,1.6866,0,0,0,0,1.88427,4.13622,1.28016,0.00138697,0.000462324,0.00138697,0.000462324,0.00138697,0.000462324,0.00138697,0.000462324
2,25.7396,1.74657,4.22066,1.23703,0.00495,0.61168,0.00534,0.00319,1.2817,3.67799,1.02343,0.00272304,0.000907681,0.00272304,0.000907681,0.00272304,0.000907681,0.00272304,0.000907681
3,37.7996,1.55976,2.77613,1.12366,0.89759,0.59351,0.59872,0.33083,1.38742,2.30551,1.08277,0.0039648,0.0013216,0.0039648,0.0013216,0.0039648,0.0013216,0.0039648,0.0013216
4,49.9239,1.37937,2.0299,1.02012,0.90005,0.66667,0.58687,0.37328,1.18443,1.56958,0.99314,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
5,61.9487,1.20999,1.68633,0.96838,0.89988,0.66162,0.59576,0.42803,0.98591,1.23196,0.8989,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037,0.00372112,0.00124037
6,73.9955,1.10535,1.48704,0.94196,0.90083,0.66667,0.59239,0.43669,0.93712,0.97236,0.87738,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322,0.00357965,0.00119322
7,85.8,1.04786,1.32744,0.93001,0.90049,0.66667,0.60751,0.44448,0.94466,0.97781,0.87742,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
8,97.861,0.99312,1.1636,0.91355,0.90032,0.66667,0.61348,0.44873,0.90574,0.91295,0.86418,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989,0.0032967,0.0010989
9,109.803,0.96693,1.13538,0.90807,0.89995,0.66667,0.68041,0.47732,0.91386,0.87113,0.86317,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
10,121.787,0.94853,1.09611,0.89816,0.89946,0.66667,0.69621,0.49831,0.85169,0.87167,0.84778,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
11,133.639,0.93909,1.08037,0.90508,0.90014,0.66667,0.64269,0.49279,0.84897,0.86588,0.84084,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
12,145.844,0.91817,1.03869,0.89316,0.90256,0.66667,0.64522,0.476,0.8887,0.91116,0.85424,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273,0.00273082,0.000910273
13,157.875,0.89544,0.9783,0.88541,0.90173,0.66327,0.66306,0.49559,0.87714,0.84707,0.85068,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
14,169.902,0.87956,0.92583,0.87393,0.90019,0.66667,0.68919,0.5245,0.81948,0.7922,0.83152,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959,0.00244788,0.000815959
15,181.858,0.89283,0.93946,0.88784,0.90311,0.66667,0.71076,0.5346,0.80633,0.75304,0.83191,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802
