epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.4778,2.77533,5.15874,1.65038,0.00025,0.03986,0.00014,0.0001,1.88533,3.78688,1.12408,0.00161937,0.00053979,0.00161937,0.00053979,0.00161937,0.00053979,0.00161937,0.00053979
2,26.1382,1.6471,4.11807,1.07803,0.00308,0.5,0.05258,0.01817,1.35241,3.43652,0.94933,0.00317792,0.00105931,0.00317792,0.00105931,0.00317792,0.00105931,0.00317792,0.00105931
3,38.5649,1.44334,2.38522,0.976,0.97356,0.79933,0.97253,0.53363,1.34913,2.17425,0.95618,0.00462645,0.00154215,0.00462645,0.00154215,0.00462645,0.00154215,0.00462645,0.00154215
4,50.8318,1.35363,1.6023,0.95082,0.96683,0.91915,0.96648,0.53011,1.27516,1.71902,0.93354,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
5,63.0884,1.31954,1.37863,0.94446,0.97608,0.98936,0.97725,0.56351,1.19457,1.07992,0.92737,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
6,75.3772,1.26556,1.22466,0.9358,0.97539,0.98936,0.98024,0.60495,1.15943,0.89577,0.91452,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195
7,87.6123,1.24536,1.15706,0.93668,0.9753,0.98936,0.97895,0.59338,1.12842,0.79171,0.91597,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
8,99.6754,1.21588,1.08464,0.92488,0.9767,0.98936,0.97693,0.63774,1.0904,0.7736,0.90004,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192
9,111.893,1.18724,1.01938,0.91498,0.9623,0.98685,0.97644,0.64227,1.09959,0.71944,0.9021,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
10,124.154,1.19878,0.98984,0.9224,0.97398,0.97674,0.97652,0.6534,1.08203,0.68808,0.90257,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
11,136.384,1.17289,0.94381,0.91635,0.97525,0.98622,0.97187,0.63695,1.0633,0.70678,0.89723,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
12,148.605,1.16599,0.94835,0.91291,0.97564,0.98812,0.97006,0.64707,1.06034,0.69038,0.89441,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
13,160.978,1.11584,0.87111,0.90091,0.97548,0.98626,0.97354,0.65687,1.07493,0.67201,0.89675,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
14,173.36,1.14105,0.86531,0.91122,0.94497,0.97645,0.97356,0.6305,1.04867,0.66308,0.90196,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857
15,185.68,1.1084,0.83229,0.90082,0.97352,0.97593,0.97405,0.65907,1.02882,0.67727,0.89068,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
16,198.01,1.1116,0.83154,0.90214,0.97604,0.98936,0.97165,0.64658,1.04803,0.66246,0.89297,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
17,210.268,1.08808,0.81394,0.898,0.97548,0.98703,0.97016,0.66226,1.01096,0.68668,0.88399,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
18,222.674,1.1007,0.81694,0.89896,0.9747,0.98819,0.96866,0.66739,1.01643,0.67625,0.8845,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813
19,235.122,1.09272,0.78212,0.89912,0.97604,0.98936,0.9706,0.66538,1.01687,0.63854,0.88526,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
