epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.5917,2.13729,4.35941,1.54,0.00333,1,0.0111,0.00594,1.46262,3.70094,1.06816,0.00194444,0.000648148,0.00194444,0.000648148,0.00194444,0.000648148,0.00194444,0.000648148
2,22.4887,1.33049,2.70884,1.02859,0.99758,1,0.995,0.68032,1.11822,2.09782,0.84357,0.00386634,0.00128878,0.00386634,0.00128878,0.00386634,0.00128878,0.00386634,0.00128878
3,33.1719,1.19961,1.5686,1.00533,1,0.95599,0.995,0.68243,1.07264,2.26318,0.85039,0.00570904,0.00190301,0.00570904,0.00190301,0.00570904,0.00190301,0.00570904,0.00190301
4,43.8684,1.14229,1.25082,0.9792,0.99908,1,0.995,0.67572,1.14625,1.40063,0.86922,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,54.4586,1.13829,1.07959,0.96923,0.99931,1,0.995,0.67072,1.09625,0.99316,0.89379,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,65.0612,1.10807,1.00481,0.96103,0.99954,1,0.995,0.69395,1.08325,0.83275,0.90401,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,75.6686,1.08392,0.89833,0.95489,0.9995,1,0.995,0.67332,1.09432,0.71771,0.9174,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,86.2818,1.09623,0.86447,0.96266,0.99951,1,0.995,0.69177,1.08358,0.61235,0.91862,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,96.8734,1.08088,0.79789,0.95829,0.99955,1,0.995,0.65967,1.09868,0.57781,0.93763,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,107.459,1.07397,0.76242,0.95479,0.99953,1,0.995,0.68831,1.07228,0.61562,0.92815,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,118.141,1.0898,0.7342,0.96808,0.99951,1,0.995,0.67749,1.07428,0.59711,0.91837,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
