epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.15912,3.16799,5.77739,2.02428,0,0,0,0,2.70563,5.15535,2.01525,0.00132,0.00044,0.00132,0.00044,0.00132,0.00044,0.00132,0.00044
2,13.7718,2.09183,4.48011,1.34139,0.00333,1,0.01171,0.00615,1.65934,3.90276,1.06763,0.0026109,0.0008703,0.0026109,0.0008703,0.0026109,0.0008703,0.0026109,0.0008703
3,20.3305,1.50509,3.2042,1.05088,0.00333,1,0.995,0.58998,1.27509,2.78422,0.95009,0.00381072,0.00127024,0.00381072,0.00127024,0.00381072,0.00127024,0.00381072,0.00127024
4,26.7791,1.41989,1.8273,1.05746,0.99508,1,0.995,0.5949,1.26328,2.32092,0.98742,0.00491946,0.00163982,0.00491946,0.00163982,0.00491946,0.00163982,0.00491946,0.00163982
5,33.1539,1.36626,1.58705,1.01746,0.99822,1,0.995,0.57548,1.33339,1.7577,1.04767,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
6,39.5232,1.32546,1.43964,1.01881,0.99851,1,0.995,0.61839,1.28832,1.48385,0.99218,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
7,45.918,1.31651,1.36265,1.00336,0.9992,1,0.995,0.62864,1.22555,1.21767,0.96841,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,52.3003,1.26236,1.26335,0.98478,0.99927,1,0.995,0.59491,1.27836,1.12593,1.01218,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,58.6666,1.26533,1.18517,0.98106,0.99921,1,0.995,0.65754,1.19383,1.02224,0.95867,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,65.0491,1.25458,1.14975,0.97981,0.99913,1,0.995,0.62061,1.22665,1.0123,1.00277,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,71.4329,1.24152,1.15155,0.9758,0.99921,1,0.995,0.65241,1.20266,0.92358,0.98953,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,77.8166,1.25302,1.05704,0.9712,0.9992,1,0.995,0.63462,1.1619,0.89674,0.99146,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,84.174,1.24807,1.08443,0.97903,0.99912,1,0.995,0.62693,1.18104,0.90437,1.00524,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,90.5395,1.25992,0.98705,0.96079,0.99926,1,0.995,0.64172,1.17392,0.84708,1.0049,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,96.9168,1.21714,1.01086,0.96474,0.99912,1,0.995,0.62312,1.14148,0.8845,1.00676,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,103.29,1.2194,0.97487,0.96966,0.99904,1,0.995,0.63155,1.16779,0.83189,0.98818,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,109.612,1.21968,0.96871,0.98718,0.99919,1,0.995,0.62532,1.13701,0.79777,0.98985,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,116.022,1.24604,0.95796,0.9824,0.99925,1,0.995,0.62161,1.17263,0.69298,1.00231,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,122.421,1.18404,0.90296,0.95091,0.9993,1,0.995,0.6245,1.17001,0.67883,0.99227,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,128.809,1.21626,0.90036,0.98079,0.99925,1,0.995,0.6254,1.15876,0.68259,0.98799,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,134.684,1.19566,1.11378,0.99285,0.99914,1,0.995,0.62897,1.16137,0.69379,0.98426,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,140.541,1.2277,1.09044,1.00532,0.99928,1,0.995,0.63648,1.15859,0.71003,0.99142,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,146.404,1.20207,1.0334,1.0039,0.99925,1,0.995,0.63008,1.18022,0.70706,1.00231,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,152.265,1.19054,1.02733,1.00145,0.99927,1,0.995,0.65533,1.17216,0.68771,0.99429,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,158.078,1.19746,1.03181,0.9967,0.99927,1,0.995,0.65965,1.15146,0.6899,0.98388,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,163.921,1.193,1.00995,0.99463,0.99926,1,0.995,0.6573,1.16505,0.69695,0.98426,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,169.795,1.19562,0.98375,0.99808,0.99927,1,0.995,0.62304,1.14191,0.69886,0.98282,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,175.659,1.18897,0.976,1.00651,0.99929,1,0.995,0.6386,1.16882,0.66376,0.98713,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,181.427,1.18482,0.96317,1.00672,0.99929,1,0.995,0.65067,1.16717,0.65411,0.98624,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,187.242,1.20378,0.97974,0.99611,0.99929,1,0.995,0.64979,1.16428,0.65289,0.98952,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
