epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.4557,1.87679,4.60743,1.48775,0,0,0,0,1.32232,3.84969,1.07277,0.00123476,0.000411585,0.00123476,0.000411585,0.00123476,0.000411585,0.00123476,0.000411585
2,25.5269,1.14773,3.44721,0.96205,0.29994,0.88619,0.47797,0.34437,1.0584,2.05596,0.97701,0.00243556,0.000811853,0.00243556,0.000811853,0.00243556,0.000811853,0.00243556,0.000811853
3,37.1483,1.09178,2.15522,0.95943,0.49907,1,0.53243,0.38956,0.9611,1.47307,0.94883,0.00358686,0.00119562,0.00358686,0.00119562,0.00358686,0.00119562,0.00358686,0.00119562
4,48.7413,1.04031,1.65249,0.93821,0.49905,1,0.54077,0.39633,0.98927,1.27655,0.95746,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
5,60.2598,1.01421,1.52206,0.93381,0.49928,1,0.5302,0.39368,0.97405,1.22436,0.94367,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,71.9378,1.00655,1.4339,0.92655,0.49962,1,0.51901,0.3796,0.95568,1.16171,0.94706,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,83.4156,1.01207,1.3837,0.93273,0.49938,1,0.54118,0.39352,1.00842,1.15745,0.96415,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,94.8727,0.99556,1.3353,0.93052,0.49934,1,0.52295,0.38632,0.97375,1.12703,0.9582,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,106.311,0.98635,1.31187,0.93243,0.49967,1,0.54322,0.40319,0.94981,1.1267,0.95864,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,117.924,0.98231,1.2715,0.93209,0.49962,1,0.51545,0.38255,0.94109,1.08267,0.96314,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,129.449,0.99211,1.26222,0.93489,0.49953,1,0.52408,0.39235,0.94204,1.02753,0.9599,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,140.927,0.983,1.22564,0.93055,0.4996,1,0.51377,0.38542,0.94922,1.009,0.97433,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,152.338,0.99416,1.23232,0.93564,0.49932,1,0.51656,0.38771,0.93071,0.99585,0.96613,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,163.8,0.98691,1.21838,0.93205,0.49971,1,0.5346,0.40092,0.9401,0.9635,0.97384,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,175.27,0.97755,1.19082,0.93458,0.49958,1,0.5226,0.39055,0.93564,0.95989,0.96902,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
16,186.747,0.97481,1.17987,0.93431,0.49958,1,0.52059,0.38796,0.95027,0.93662,0.97447,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
17,198.247,0.96655,1.18095,0.93032,0.4996,1,0.52437,0.39527,0.92925,0.93456,0.96422,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
