epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.49475,2.18896,4.51709,1.7235,0,0,0,0,1.7174,4.11641,1.52169,0.00121795,0.000405983,0.00121795,0.000405983,0.00121795,0.000405983,0.00121795,0.000405983
2,12.2653,1.26249,3.86104,1.03949,0.00021,0.01471,0.00011,8e-05,1.14247,3.65091,0.99272,0.00241908,0.000806361,0.00241908,0.000806361,0.00241908,0.000806361,0.00241908,0.000806361
3,17.9166,1.14696,2.82205,0.96966,0.29445,1,0.58752,0.42892,1.04137,1.66284,1.02188,0.00357072,0.00119024,0.00357072,0.00119024,0.00357072,0.00119024,0.00357072,0.00119024
4,23.4071,1.11281,1.74008,0.99345,0.87219,0.96835,0.87062,0.619,1.06267,1.20171,1.00395,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
5,28.9674,1.09408,1.25974,0.98115,0.99618,1,0.995,0.73143,0.98675,0.88093,0.99441,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,34.4874,1.05902,1.01236,0.97622,0.99701,1,0.995,0.73011,0.98707,0.73645,0.99706,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,40.0979,1.04417,0.88427,0.96922,0.99834,1,0.995,0.71873,0.99177,0.63769,0.98567,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,45.6029,1.03699,0.80838,0.95876,0.99849,1,0.995,0.73647,0.95872,0.6077,0.97686,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,51.1456,1.03463,0.76848,0.96199,0.99869,1,0.995,0.72854,0.96818,0.60167,0.98066,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,56.6723,1.01902,0.72878,0.96292,0.99912,1,0.995,0.74012,0.9774,0.54522,0.98474,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,62.2331,1.0248,0.70272,0.96113,0.99947,1,0.995,0.73282,0.97259,0.56808,0.98462,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,67.7297,1.01396,0.67861,0.95194,0.99938,1,0.995,0.73997,0.96087,0.52596,0.98405,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,73.3232,1.01094,0.66733,0.96177,0.99886,1,0.995,0.73258,0.97609,0.51243,0.988,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,78.8713,1.01135,0.6472,0.95922,0.99939,1,0.995,0.73853,0.98136,0.50774,0.99361,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,84.4025,1.00889,0.64163,0.95859,0.99915,1,0.995,0.73958,0.96197,0.4873,0.99445,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
16,89.878,1.00741,0.61389,0.95186,0.99915,1,0.995,0.7215,0.99579,0.51331,0.99004,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
17,95.4324,1.00238,0.61975,0.95466,0.9989,1,0.995,0.73986,0.97254,0.49448,0.98899,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
18,101.031,1.00593,0.60487,0.95691,0.9991,1,0.995,0.73113,0.98168,0.49318,0.99658,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
19,106.67,0.99548,0.59498,0.95649,0.99923,1,0.995,0.74964,0.95684,0.49016,0.98634,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
