epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.82559,2.97538,4.59169,2.3366,0.00019,0.0307,0.00011,1e-05,2.4572,4.10539,2.28934,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722
2,6.78172,2.05209,4.16412,1.75174,0.0001,0.01316,5e-05,0,1.66943,3.81755,1.58604,0.00155478,0.000518261,0.00155478,0.000518261,0.00155478,0.000518261,0.00155478,0.000518261
3,9.76409,1.36149,3.63881,1.23347,0.00648,0.73684,0.22573,0.16788,1.23606,3.64348,1.21778,0.00230565,0.00076855,0.00230565,0.00076855,0.00230565,0.00076855,0.00230565,0.00076855
4,12.6221,1.18107,2.85741,1.05832,0.00875,1,0.24485,0.16936,1.18819,3.15203,1.06692,0.00302426,0.00100809,0.00302426,0.00100809,0.00302426,0.00100809,0.00302426,0.00100809
5,15.4516,1.13647,1.75717,1.03069,0.77035,0.66667,0.85553,0.57149,1.27662,1.97577,1.19456,0.00371062,0.00123687,0.00371062,0.00123687,0.00371062,0.00123687,0.00371062,0.00123687
6,18.2423,1.12792,1.35077,1.03536,0.87402,1,0.90121,0.60572,1.3011,1.10687,1.25516,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,21.0392,1.06459,1.12663,1.02322,0.87534,1,0.90717,0.5929,1.29813,1.04472,1.14652,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,23.8361,1.05913,1.0366,0.99179,0.87329,1,0.89217,0.56775,1.28083,0.97183,1.07229,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,26.6005,1.05093,0.97402,0.98412,0.87361,1,0.87713,0.57657,1.28593,0.95551,1.07455,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,29.4746,1.04436,0.87396,0.9806,0.876,1,0.90933,0.5892,1.25282,0.95189,1.05352,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,32.2529,1.01563,0.85693,0.97006,0.87622,1,0.90583,0.59665,1.23855,0.93081,1.04634,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,35.0192,1.02059,0.82736,0.97234,0.87586,1,0.90468,0.61334,1.19736,0.90921,1.02042,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,37.7656,1.01251,0.79412,0.9658,0.87589,1,0.90997,0.5917,1.2617,0.97626,1.05444,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,40.5428,1.01854,0.78048,0.96457,0.87532,1,0.90964,0.5965,1.27025,0.94039,1.05472,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,43.3555,1.01715,0.75338,0.96203,0.87618,1,0.89125,0.59337,1.24281,0.92136,1.03335,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,46.1567,1.00297,0.7622,0.96718,0.87587,1,0.90229,0.6074,1.24703,0.9109,1.04232,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,48.9196,0.99215,0.73121,0.96139,0.87601,1,0.90285,0.60729,1.26685,0.92269,1.05073,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,51.7004,0.99685,0.71654,0.9616,0.8759,1,0.91386,0.61673,1.22161,0.88259,1.03828,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,54.525,0.99302,0.70396,0.95645,0.87542,1,0.89868,0.60472,1.21356,0.87753,1.0423,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,57.2999,0.99316,0.71424,0.96006,0.8756,1,0.8959,0.58343,1.28074,0.91934,1.05699,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,60.0477,0.98471,0.67896,0.95577,0.87556,1,0.896,0.60813,1.17931,0.88403,1.0291,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,62.8295,0.99353,0.68178,0.95655,0.87594,1,0.89748,0.59941,1.18189,0.88427,1.02496,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,65.6506,0.99023,0.67278,0.95526,0.87589,1,0.9074,0.6132,1.24247,0.93218,1.04401,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,68.4243,0.99234,0.68208,0.95795,0.8758,1,0.89531,0.61185,1.19835,0.89071,1.02311,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,71.2535,0.99757,0.67394,0.95914,0.87601,1,0.89461,0.61852,1.19287,0.88006,1.02464,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,74.0352,1.01203,0.67574,0.95885,0.87599,1,0.88925,0.60836,1.17884,0.91353,1.01099,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
