epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.6012,2.92243,6.30936,1.64224,0.00333,1,0.00996,0.00223,2.78803,4.33617,1.39477,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852
2,24.4983,2.12029,3.66564,1.25185,0.00333,1,0.995,0.42691,1.6955,2.92012,1.18048,0.00387724,0.00129241,0.00387724,0.00129241,0.00387724,0.00129241,0.00387724,0.00129241
3,36.2245,1.82479,2.47647,1.15926,0.48144,1,0.95674,0.33806,1.94181,2.50089,1.23825,0.00571972,0.00190657,0.00571972,0.00190657,0.00571972,0.00190657,0.00571972,0.00190657
4,47.8607,1.69961,2.05139,1.11826,0.97353,1,0.995,0.44142,1.49137,1.57802,1.0784,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,59.5222,1.64932,1.78958,1.0754,0.99209,1,0.995,0.65128,1.28829,1.22138,1.02438,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,71.1482,1.60367,1.57859,1.06482,0.99109,1,0.995,0.56328,1.55431,1.058,1.0698,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,82.827,1.61611,1.45184,1.06311,0.97067,1,0.995,0.43818,1.4023,1.55185,1.05872,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,94.4802,1.54214,1.35988,1.04774,0.99311,1,0.995,0.57798,1.71509,0.9427,1.17399,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,106.09,1.53797,1.26908,1.0487,0.99371,1,0.995,0.58881,1.69777,1.00978,1.14684,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,117.751,1.54335,1.2068,1.04971,0.99333,1,0.995,0.46478,1.93036,0.90428,1.29492,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,129.353,1.51355,1.13796,1.03591,0.99451,1,0.995,0.57628,1.49944,0.79984,1.09363,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,141.043,1.54288,1.11243,1.04447,0.99448,1,0.995,0.59989,1.46962,0.9183,1.05052,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,152.699,1.50365,1.09023,1.03848,0.99467,1,0.995,0.61435,1.38893,0.85611,1.05155,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,164.309,1.49348,1.05567,1.02709,0.99342,1,0.995,0.57442,1.54908,0.80656,1.09758,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,175.883,1.52306,1.01167,1.02853,0.99477,1,0.995,0.54896,1.50423,0.84671,1.07422,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,187.592,1.4804,0.99226,1.02638,0.99453,1,0.995,0.55187,1.41844,0.85365,1.05016,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,199.14,1.4782,0.99416,1.02919,0.99408,1,0.995,0.54585,1.44629,0.78973,1.06306,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,210.578,1.51557,0.97998,1.0344,0.9939,1,0.995,0.5653,1.46411,0.75257,1.05765,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,222.064,1.49745,0.93245,1.03197,0.99447,1,0.995,0.5644,1.45246,0.75957,1.07094,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,233.587,1.48746,0.93441,1.03138,0.99213,1,0.995,0.55159,1.35091,0.7901,1.04118,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,245.038,1.48494,0.92427,1.02802,0.99153,1,0.995,0.57698,1.57979,0.83626,1.08891,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,256.536,1.48204,0.92067,1.03671,0.99379,1,0.995,0.61916,1.32702,0.65802,1.03505,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,268.005,1.46073,0.89618,1.022,0.99426,1,0.995,0.54407,1.56527,0.74006,1.09431,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,279.57,1.44999,0.88686,1.02133,0.99402,1,0.995,0.5469,1.44254,0.70289,1.05845,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,291.026,1.48175,0.88675,1.01543,0.99468,1,0.995,0.54918,1.47638,0.72126,1.07202,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,302.473,1.48241,0.8789,1.02787,0.99437,1,0.995,0.54244,1.60792,0.65651,1.11586,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,313.891,1.4583,0.84861,1.01779,0.99402,1,0.995,0.54668,1.58696,0.63572,1.08948,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,325.408,1.46287,0.87142,1.02579,0.99367,1,0.995,0.58406,1.52431,0.67738,1.08328,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,336.832,1.44568,0.85412,0.99772,0.99405,1,0.995,0.59361,1.40842,0.7127,1.04733,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,348.322,1.43257,0.84461,1.01405,0.99406,1,0.995,0.53692,1.51579,0.7366,1.07546,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,359.822,1.47343,0.85007,1.02241,0.99359,1,0.995,0.56477,1.52841,0.75119,1.10919,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,371.93,1.43705,0.81027,1.00515,0.99419,1,0.995,0.56361,1.53909,0.69185,1.07542,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
