epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.2329,2.27912,4.71662,1.55647,0.00333,1,0.9848,0.46644,1.50454,2.8574,1.10442,0.00198667,0.000662222,0.00198667,0.000662222,0.00198667,0.000662222,0.00198667,0.000662222
2,34.8865,1.66172,1.8388,1.17605,0.99951,1,0.995,0.52196,1.59598,1.34073,1.18275,0.00390773,0.00130258,0.00390773,0.00130258,0.00390773,0.00130258,0.00390773,0.00130258
3,49.8298,1.6668,1.41917,1.17259,0.99975,1,0.995,0.55407,1.51172,1.03794,1.17427,0.00574959,0.00191653,0.00574959,0.00191653,0.00574959,0.00191653,0.00574959,0.00191653
4,64.1993,1.59684,1.23626,1.14376,0.99974,1,0.995,0.53543,1.54915,0.82173,1.19172,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,79.383,1.58027,1.09517,1.14552,0.99976,1,0.995,0.5263,1.57425,0.78242,1.21459,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,93.955,1.58156,0.98472,1.15524,0.99976,1,0.995,0.54328,1.54132,0.7115,1.20079,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,105.956,1.55023,0.89734,1.14468,0.99978,1,0.995,0.55275,1.51494,0.68879,1.20627,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,118.022,1.5511,0.84731,1.15199,0.99976,1,0.995,0.54613,1.52559,0.6663,1.20668,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,129.985,1.54848,0.79188,1.1505,0.99979,1,0.995,0.55623,1.52615,0.64511,1.22606,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,142.039,1.52338,0.741,1.14087,0.99974,1,0.995,0.56171,1.49633,0.62405,1.20192,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,155.195,1.54479,0.73166,1.14856,0.9998,1,0.995,0.55858,1.50972,0.56496,1.22607,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,169.351,1.53952,0.7035,1.13499,0.99979,1,0.995,0.55068,1.49768,0.51968,1.20749,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,183.969,1.57665,0.71468,1.15771,0.99977,1,0.995,0.55891,1.50948,0.48228,1.2123,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,200.587,1.54831,0.68383,1.14547,0.9998,1,0.995,0.54667,1.51518,0.51178,1.21285,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,216.436,1.54718,0.66644,1.14619,0.99977,1,0.995,0.55205,1.51165,0.56902,1.21209,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,230.592,1.51751,0.6461,1.14709,0.99976,1,0.995,0.56518,1.51529,0.49078,1.21419,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,246.443,1.55097,0.64214,1.1567,0.99975,1,0.995,0.55403,1.53607,0.50804,1.21812,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
