epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,442.862,1.26375,1.34908,0.96094,0.90534,1,0.995,0.50997,1.29051,1.15428,0.94504,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,450.76,1.23722,1.31558,0.96531,0.79354,0.85658,0.90425,0.52946,1.15533,1.13779,0.92431,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,458.611,1.25005,1.3534,0.95979,0.48934,1,0.55969,0.32383,1.19534,1.20004,0.92278,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,466.48,1.21511,1.3178,0.96998,0.4928,1,0.82817,0.5533,1.14256,1.13591,0.92644,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,474.51,1.22372,1.3356,0.97382,0.48903,1,0.80774,0.56212,1.12595,1.1626,0.918,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,482.324,1.23016,1.32414,0.96752,0.68856,0.73964,0.82704,0.57173,1.14979,1.10467,0.92654,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,490.021,1.22613,1.29648,0.96042,0.68972,0.74351,0.82817,0.5609,1.08943,1.12616,0.90645,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,497.769,1.18148,1.33417,0.95329,0.48783,1,0.55969,0.33012,1.198,1.14517,0.9348,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,505.384,1.24675,1.31244,0.95818,0.49283,1,0.55969,0.32282,1.14412,1.16212,0.93748,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,513.103,1.16846,1.29999,0.95927,0.6896,0.74313,0.82817,0.55848,1.08013,1.10988,0.9186,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,520.797,1.24346,1.31387,0.97529,0.68417,0.72502,0.82,0.52828,1.11589,1.1271,0.9217,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,528.517,1.1998,1.32188,0.95969,0.49115,1,0.82817,0.56206,1.11922,1.1697,0.93326,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,536.07,1.19282,1.29862,0.95889,0.49588,1,0.92124,0.55696,1.23421,1.1582,0.97163,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,543.81,1.19828,1.29542,0.94745,0.79707,0.87426,0.90425,0.53733,1.24878,1.16,0.97477,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
