epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.62514,3.421,5.73787,2.96964,0,0,0,0,1.70747,4.33769,1.76685,0.00195238,0.000650794,0.00195238,0.000650794,0.00195238,0.000650794,0.00195238,0.000650794
2,16.5685,1.68004,3.32383,1.46276,0.83326,0.94619,0.81164,0.35734,1.71147,2.69033,1.58916,0.00387412,0.00129137,0.00387412,0.00129137,0.00387412,0.00129137,0.00387412,0.00129137
3,23.2412,1.63415,1.7419,1.37003,0.83291,0.94619,0.79296,0.46796,1.41052,1.94898,1.39224,0.00571667,0.00190556,0.00571667,0.00190556,0.00571667,0.00190556,0.00571667,0.00190556
4,29.7102,1.55591,1.44352,1.31003,0.83347,0.94619,0.7998,0.46409,1.43234,1.79004,1.37594,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,36.6641,1.5445,1.24608,1.28844,0.83371,0.94619,0.82329,0.48818,1.48158,1.23408,1.38844,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,43.6871,1.52965,1.1587,1.28053,0.83374,0.94619,0.848,0.50498,1.42672,1.05997,1.36832,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,50.7451,1.51558,1.06859,1.28063,0.83373,0.94619,0.79908,0.48657,1.41079,0.95032,1.36052,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,57.6637,1.5051,0.99411,1.29274,0.83377,0.94619,0.81014,0.48822,1.46364,0.84532,1.38081,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,64.1363,1.47466,0.94541,1.27745,0.83377,0.94619,0.83022,0.48345,1.4851,0.79077,1.40315,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,70.6531,1.47977,0.87102,1.26045,0.83379,0.94619,0.81758,0.43618,1.52177,0.85775,1.43893,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,77.1991,1.49656,0.83367,1.2626,0.83375,0.94619,0.80787,0.47593,1.46175,0.80718,1.38611,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,84.0272,1.48345,0.82993,1.27284,0.83374,0.94619,0.8045,0.47477,1.46083,0.77262,1.36909,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,90.9351,1.48914,0.78858,1.25187,0.83379,0.94619,0.78846,0.46695,1.41191,0.81421,1.35278,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,98.2795,1.46683,0.77015,1.27376,0.83379,0.94619,0.79712,0.47422,1.42732,0.77887,1.34444,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,104.898,1.48724,0.74137,1.25891,0.83374,0.94619,0.80374,0.48268,1.41707,0.74152,1.34503,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,112.739,1.48038,0.73861,1.26398,0.83376,0.94619,0.80837,0.48057,1.44433,0.76346,1.37134,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
