epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.27198,3.09314,5.00143,3.26593,0,0,0,0,1.97732,4.48354,2.17934,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046,0.00138,0.00046
2,17.7664,1.36879,4.17849,1.59524,0.00298,0.89362,0.0061,0.00097,0.84319,3.88997,1.18829,0.00276416,0.000921388,0.00276416,0.000921388,0.00276416,0.000921388,0.00276416,0.000921388
3,26.1291,1.07784,2.27671,1.24367,0.99487,1,0.995,0.68012,1.07137,2.16018,1.27584,0.0040913,0.00136377,0.0040913,0.00136377,0.0040913,0.00136377,0.0040913,0.00136377
4,34.2969,0.97049,1.50068,1.13918,0.99646,1,0.995,0.78668,0.95611,2.1366,1.20955,0.00536142,0.00178714,0.00536142,0.00178714,0.00536142,0.00178714,0.00536142,0.00178714
5,42.4793,0.9401,1.32006,1.12009,0.99901,1,0.995,0.72334,0.99293,1.45816,1.28061,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,51.0064,0.90045,1.1546,1.07238,0.99926,1,0.995,0.78089,0.87501,1.2954,1.11236,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,60.1914,0.87708,1.12323,1.06604,0.99932,1,0.995,0.76819,0.87328,1.10011,1.0891,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,68.4052,0.85221,1.01066,1.04141,0.99938,1,0.995,0.77568,0.86925,1.02277,1.10886,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,76.637,0.83899,0.9987,1.05246,0.99939,1,0.995,0.79007,0.84597,0.89942,1.0997,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,84.8658,0.83843,0.90032,1.04279,0.99937,1,0.995,0.74319,0.87484,0.85151,1.13121,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
