epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.5206,1.52279,3.70406,1.48698,0.00668,1,0.06275,0.03794,1.17445,3.1618,1.13492,0.00120024,0.00040008,0.00120024,0.00040008,0.00120024,0.00040008,0.00120024,0.00040008
2,18.1429,1.02254,3.00273,1.11323,0.0067,1,0.50276,0.29964,0.92433,2.78914,1.08447,0.00236962,0.000789875,0.00236962,0.000789875,0.00236962,0.000789875,0.00236962,0.000789875
3,26.5516,0.97608,1.8718,1.06544,0.99489,1,0.995,0.76715,0.89497,1.69522,0.9351,0.00345649,0.00115216,0.00345649,0.00115216,0.00345649,0.00115216,0.00345649,0.00115216
4,34.9336,0.92509,1.13738,1.00382,0.99857,1,0.995,0.77123,0.82931,1.02386,0.90887,0.00446084,0.00148695,0.00446084,0.00148695,0.00446084,0.00148695,0.00446084,0.00148695
5,43.2347,0.87834,1.00091,0.97068,0.998,1,0.995,0.75229,0.91488,0.99037,0.9014,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696,0.00434087,0.00144696
6,51.4813,0.84389,0.89622,0.94284,0.99869,1,0.995,0.79614,0.81626,0.76204,0.88933,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195,0.00417584,0.00139195
7,59.8144,0.84663,0.82956,0.93235,0.99875,1,0.995,0.78716,0.79407,0.62247,0.88046,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
8,68.1814,0.81788,0.798,0.92408,0.99893,1,0.995,0.78798,0.78312,0.59687,0.87942,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192,0.00384577,0.00128192
9,76.4505,0.82474,0.7638,0.92334,0.99908,1,0.995,0.78284,0.8053,0.54418,0.87581,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691,0.00368074,0.00122691
10,84.7456,0.80873,0.72679,0.91336,0.99933,1,0.995,0.79104,0.80435,0.52911,0.86922,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
11,93.0994,0.77401,0.70932,0.90848,0.99927,1,0.995,0.78963,0.79813,0.54535,0.86574,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689,0.00335067,0.00111689
12,101.632,0.79027,0.69085,0.90804,0.99921,1,0.995,0.77941,0.79726,0.54715,0.86606,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188,0.00318564,0.00106188
13,109.874,0.78968,0.69439,0.90702,0.99926,1,0.995,0.77697,0.78835,0.521,0.85673,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
14,118.236,0.7718,0.65738,0.90924,0.99931,1,0.995,0.75702,0.81036,0.53917,0.85719,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857,0.00285557,0.000951857
15,126.618,0.78446,0.65782,0.90151,0.99931,1,0.995,0.78435,0.77887,0.51534,0.84924,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846,0.00269054,0.000896846
16,134.943,0.77738,0.64559,0.90959,0.99909,1,0.995,0.77849,0.7934,0.49014,0.8572,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
17,143.176,0.77676,0.63206,0.90703,0.99897,1,0.995,0.79552,0.78865,0.51198,0.86209,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
