epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.65695,1.48797,3.66199,1.33293,0.00615,1,0.05404,0.03225,1.57048,3.48105,1.53554,0.00095019,0.00031673,0.00095019,0.00031673,0.00095019,0.00031673,0.00095019,0.00031673
2,6.73441,1.15358,3.13572,1.08378,0.00605,1,0.43042,0.28292,1.4275,3.14554,1.10067,0.00193108,0.000643694,0.00193108,0.000643694,0.00193108,0.000643694,0.00193108,0.000643694
3,9.74336,1.05379,2.38925,1.02758,0.00605,1,0.42758,0.23235,1.37971,2.90029,1.10279,0.00289217,0.000964056,0.00289217,0.000964056,0.00289217,0.000964056,0.00289217,0.000964056
4,12.6307,1.06268,1.76865,1.00474,0.90244,1,0.91646,0.60964,1.38301,2.04006,1.13182,0.00383345,0.00127782,0.00383345,0.00127782,0.00383345,0.00127782,0.00383345,0.00127782
5,15.5308,1.02847,1.20631,0.96793,0.9036,1,0.91175,0.52711,1.64836,1.34995,1.12924,0.00475493,0.00158498,0.00475493,0.00158498,0.00475493,0.00158498,0.00475493,0.00158498
6,18.3682,1.01849,1.17422,0.95263,0.90596,1,0.91938,0.56809,1.52975,1.38759,1.0769,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,21.2189,1.00835,1.1246,0.93626,0.90561,1,0.92289,0.60988,1.4621,1.09881,1.04358,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,24.0916,0.99432,1.01894,0.93933,0.90536,1,0.92706,0.55617,1.65656,1.02564,1.19943,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,26.9651,1.02402,1.02444,0.954,0.90808,1,0.91778,0.60427,1.47594,0.9501,1.13564,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,29.8704,0.98314,0.9904,0.93407,0.90825,1,0.92283,0.61714,1.48405,1.02105,1.15008,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,32.7159,0.98129,0.92498,0.92694,0.90784,1,0.92308,0.64165,1.44211,1.06429,1.09531,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,35.5546,1.00263,0.94002,0.93224,0.90807,1,0.91309,0.61511,1.46754,1.00612,1.02803,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,38.3821,0.98482,0.90197,0.9296,0.90756,1,0.9253,0.57688,1.5968,0.99822,1.12575,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,41.2011,1.00929,0.89193,0.92611,0.90762,1,0.91781,0.59073,1.52742,1.05486,1.09856,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,44.0539,1.00064,0.87581,0.93022,0.90833,1,0.91469,0.60761,1.60447,1.07777,1.10713,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,46.9026,0.99526,0.85688,0.93016,0.90838,1,0.92091,0.61962,1.44645,1.00556,1.05702,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,49.7388,0.99045,0.84953,0.92338,0.90758,1,0.91433,0.62524,1.33917,0.86802,0.9927,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,52.5626,0.98878,0.89373,0.92223,0.90795,1,0.91887,0.57164,1.52434,1.06733,1.08658,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,55.407,0.99152,0.84942,0.93156,0.9081,1,0.92332,0.6079,1.42563,0.91319,1.07401,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,58.2703,0.97344,0.83687,0.92977,0.90816,1,0.92189,0.58023,1.4648,0.86924,1.10549,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,61.132,0.97628,0.83827,0.92924,0.90776,1,0.92268,0.6322,1.42378,0.90592,1.10387,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,63.9707,0.95922,0.79856,0.9225,0.90723,1,0.92846,0.63343,1.3923,0.86367,1.0984,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,66.79,1.00157,0.80875,0.9305,0.90777,1,0.92065,0.6394,1.28879,0.8781,1.02304,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
