epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.50184,2.33776,5.93646,1.65296,0,0,0,0,2.30102,4.97322,1.63751,0.0002511,8.37e-05,0.0002511,8.37e-05,0.0002511,8.37e-05,0.0002511,8.37e-05
2,6.29175,2.16221,5.79296,1.56124,0,0,0,0,1.95985,4.89996,1.4648,0.000505248,0.000168416,0.000505248,0.000168416,0.000505248,0.000168416,0.000505248,0.000168416
3,8.95051,1.86577,5.62598,1.38456,0,0,0,0,1.78058,4.78422,1.32441,0.000754264,0.000251421,0.000754264,0.000251421,0.000754264,0.000251421,0.000754264,0.000251421
4,11.6366,1.59946,5.4066,1.23126,0,0,0,0,1.52722,4.68158,1.16406,0.000785943,0.000261981,0.000785943,0.000261981,0.000785943,0.000261981,0.000785943,0.000261981
5,14.3358,1.37606,5.27044,1.13158,0,0,0,0,1.2566,4.64558,1.09806,0.000777924,0.000259308,0.000777924,0.000259308,0.000777924,0.000259308,0.000777924,0.000259308
6,17.0088,1.26082,5.1428,1.08272,0,0,0,0,1.18775,4.47673,1.06615,0.000769905,0.000256635,0.000769905,0.000256635,0.000769905,0.000256635,0.000769905,0.000256635
7,19.7279,1.30619,5.03405,1.09713,0.06122,0.14062,0.0402,0.03003,1.20673,4.27987,1.07057,0.000761886,0.000253962,0.000761886,0.000253962,0.000761886,0.000253962,0.000761886,0.000253962
8,22.4535,1.27999,4.85578,1.06705,0.11111,0.39062,0.22151,0.16745,1.22564,4.03195,1.06766,0.000753867,0.000251289,0.000753867,0.000251289,0.000753867,0.000251289,0.000753867,0.000251289
9,25.1802,1.25657,4.67565,1.0558,0.2947,0.61198,0.56838,0.40975,1.24992,3.7144,1.07349,0.000745848,0.000248616,0.000745848,0.000248616,0.000745848,0.000248616,0.000745848,0.000248616
10,27.9684,1.23491,4.29413,1.03793,0.38443,0.96946,0.90284,0.62205,1.28344,3.18103,1.09877,0.000737829,0.000245943,0.000737829,0.000245943,0.000737829,0.000245943,0.000737829,0.000245943
11,30.6869,1.24832,4.06494,1.05986,0.37413,0.96946,0.91264,0.64061,1.23262,2.34058,1.11029,0.00072981,0.00024327,0.00072981,0.00024327,0.00072981,0.00024327,0.00072981,0.00024327
12,33.4013,1.22565,3.53716,1.06263,0.82933,0.85629,0.93033,0.66969,1.14477,1.40985,1.07742,0.000721791,0.000240597,0.000721791,0.000240597,0.000721791,0.000240597,0.000721791,0.000240597
13,36.1027,1.24227,2.90446,1.06482,0.95683,0.92259,0.96308,0.67979,1.14694,0.92694,1.08154,0.000713772,0.000237924,0.000713772,0.000237924,0.000713772,0.000237924,0.000713772,0.000237924
14,38.841,1.22595,2.56282,1.05636,0.98915,0.96946,0.97304,0.67846,1.15987,0.9496,1.08819,0.000705753,0.000235251,0.000705753,0.000235251,0.000705753,0.000235251,0.000705753,0.000235251
15,41.566,1.18605,2.23384,1.04342,0.99451,0.96946,0.97229,0.67552,1.16784,0.93979,1.09203,0.000697734,0.000232578,0.000697734,0.000232578,0.000697734,0.000232578,0.000697734,0.000232578
16,44.281,1.19873,2.02133,1.04251,0.99757,0.96946,0.97216,0.6686,1.19046,0.80292,1.09738,0.000689715,0.000229905,0.000689715,0.000229905,0.000689715,0.000229905,0.000689715,0.000229905
17,46.9895,1.1577,1.81137,1.01684,0.99873,0.96946,0.97194,0.66474,1.18361,0.72191,1.07781,0.000681696,0.000227232,0.000681696,0.000227232,0.000681696,0.000227232,0.000681696,0.000227232
18,49.6866,1.13161,1.73109,1.03157,0.99769,0.96946,0.97178,0.68086,1.16626,0.70389,1.06752,0.000673677,0.000224559,0.000673677,0.000224559,0.000673677,0.000224559,0.000673677,0.000224559
19,52.424,1.14901,1.65365,1.00804,0.99702,0.96946,0.97162,0.6942,1.14098,0.68905,1.06015,0.000665658,0.000221886,0.000665658,0.000221886,0.000665658,0.000221886,0.000665658,0.000221886
20,55.1295,1.09657,1.5599,1.01406,0.99647,0.96946,0.9717,0.68896,1.15215,0.68283,1.06152,0.000657639,0.000219213,0.000657639,0.000219213,0.000657639,0.000219213,0.000657639,0.000219213
21,57.852,1.13167,1.45842,1.00923,0.99579,0.96946,0.97169,0.6839,1.14503,0.65488,1.05213,0.00064962,0.00021654,0.00064962,0.00021654,0.00064962,0.00021654,0.00064962,0.00021654
22,60.5819,1.09272,1.38508,0.99053,0.99595,0.96946,0.97166,0.6899,1.11263,0.63052,1.03603,0.000641601,0.000213867,0.000641601,0.000213867,0.000641601,0.000213867,0.000641601,0.000213867
23,63.3094,1.05138,1.32473,0.98644,0.99603,0.96946,0.97174,0.68764,1.11279,0.5983,1.0322,0.000633582,0.000211194,0.000633582,0.000211194,0.000633582,0.000211194,0.000633582,0.000211194
24,66.0861,1.06036,1.31924,0.97885,0.99675,0.96946,0.97174,0.67797,1.13093,0.58769,1.04108,0.000625563,0.000208521,0.000625563,0.000208521,0.000625563,0.000208521,0.000625563,0.000208521
25,68.7907,1.0418,1.25763,0.98288,0.99669,0.96946,0.97182,0.70036,1.08775,0.56473,1.02203,0.000617544,0.000205848,0.000617544,0.000205848,0.000617544,0.000205848,0.000617544,0.000205848
26,71.5254,1.04809,1.17381,0.9787,0.9972,0.96946,0.97179,0.70205,1.07158,0.53634,1.01201,0.000609525,0.000203175,0.000609525,0.000203175,0.000609525,0.000203175,0.000609525,0.000203175
