epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.6927,2.43567,4.53503,1.66342,0.00407,0.34253,0.05192,0.01684,2.6732,3.95774,1.57789,0.0007125,0.0002375,0.0007125,0.0002375,0.0007125,0.0002375,0.0007125,0.0002375
2,6.82039,1.92865,4.26754,1.36378,0.00335,0.27719,0.04697,0.01891,1.80587,3.88203,1.2877,0.00144802,0.000482674,0.00144802,0.000482674,0.00144802,0.000482674,0.00144802,0.000482674
3,9.87335,1.56961,3.85572,1.16591,0.0029,0.22892,0.00899,0.00339,1.46288,3.66988,1.10781,0.00216869,0.000722897,0.00216869,0.000722897,0.00216869,0.000722897,0.00216869,0.000722897
4,12.8979,1.46087,3.30163,1.09211,0.00859,0.66097,0.32981,0.19551,1.47182,3.24382,1.11257,0.00287451,0.000958171,0.00287451,0.000958171,0.00287451,0.000958171,0.00287451,0.000958171
5,15.6982,1.43996,2.48941,1.03794,0.69913,0.7259,0.82619,0.48242,1.42357,1.77689,1.06411,0.00356549,0.00118849,0.00356549,0.00118849,0.00356549,0.00118849,0.00356549,0.00118849
6,18.4565,1.40877,1.71208,1.02678,0.85155,0.84252,0.89682,0.56075,1.35146,1.29066,1.02582,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,21.254,1.35173,1.38468,1.02955,0.97449,0.96941,0.95882,0.59248,1.32164,0.98515,1.01183,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,24.0136,1.31992,1.23979,1.01454,0.97464,0.96941,0.95934,0.56727,1.4046,0.96684,1.05227,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,26.7809,1.29345,1.15709,1.00326,0.97603,0.96941,0.95684,0.58955,1.287,0.86844,1.03521,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,29.569,1.26601,1.04242,0.98989,0.97759,0.96941,0.95958,0.59957,1.2734,0.81064,1.01326,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,32.3302,1.26267,1.0162,1.00477,0.97802,0.96941,0.96267,0.59465,1.30338,0.83033,1.03422,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,35.08,1.25156,0.97494,1.00995,0.97845,0.96941,0.95989,0.62397,1.22621,0.78017,0.99536,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,37.8493,1.23633,0.93019,0.98991,0.97902,0.97015,0.9665,0.61631,1.24026,0.73883,0.99193,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
14,40.6231,1.2482,0.90117,1.00216,0.97935,0.96941,0.96313,0.62462,1.25548,0.73748,0.9976,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
15,43.3905,1.24258,0.87546,0.99453,0.97787,0.96941,0.96372,0.61868,1.26093,0.73289,0.99918,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
16,46.1493,1.23094,0.88435,0.9954,0.97898,0.96941,0.95947,0.60878,1.24673,0.73403,0.99873,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
17,48.9493,1.23658,0.85175,0.99227,0.97876,0.96941,0.95867,0.62578,1.22275,0.68333,0.99125,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
18,51.7151,1.22493,0.84662,0.99648,0.97794,0.96941,0.96072,0.63116,1.24018,0.70364,0.9878,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
19,54.488,1.24468,0.83827,0.99903,0.97854,0.96941,0.96082,0.63034,1.20953,0.69189,0.99143,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
20,57.2378,1.21899,0.80943,0.99304,0.9793,0.96941,0.9582,0.62556,1.23002,0.66439,0.99739,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
21,60.0006,1.2104,0.79336,0.99739,0.97858,0.96941,0.96182,0.61717,1.24198,0.6803,0.98858,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
22,62.7639,1.20714,0.79008,0.99741,0.97865,0.96941,0.95641,0.62079,1.22005,0.68368,0.99474,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
23,65.5792,1.22118,0.79637,0.99423,0.97847,0.96941,0.95576,0.62495,1.21727,0.65024,0.9886,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
24,68.3271,1.2201,0.78198,0.9979,0.97879,0.96941,0.95818,0.62691,1.22986,0.62944,0.98469,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
25,71.1052,1.23888,0.77797,1.00203,0.97836,0.96941,0.9566,0.62593,1.23329,0.62269,0.98298,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
26,73.8894,1.21318,0.76156,0.98952,0.97836,0.96941,0.95707,0.62218,1.19594,0.67159,0.98459,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
27,76.646,1.23251,0.77357,1.00311,0.9791,0.96941,0.9582,0.62656,1.20531,0.64817,0.98644,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
28,79.4006,1.22036,0.7715,1.00049,0.97956,0.96941,0.95932,0.62793,1.20653,0.66452,0.99073,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875
29,82.1759,1.19875,0.74553,0.98932,0.9791,0.96941,0.95602,0.62751,1.19827,0.65674,0.98793,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
30,84.9488,1.21843,0.74605,1.00273,0.97865,0.96941,0.95604,0.61439,1.24224,0.62103,0.99574,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,87.7011,1.21477,0.74371,1.00013,0.97845,0.96941,0.95531,0.62431,1.22021,0.623,0.98684,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,90.4728,1.20285,0.73873,0.99129,0.97964,0.96941,0.95788,0.62301,1.23896,0.63443,1.00202,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,93.2266,1.19438,0.73617,0.99606,0.97865,0.96941,0.95799,0.62309,1.22904,0.63048,1.00348,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,95.985,1.20327,0.72159,0.99306,0.97897,0.96941,0.95683,0.62309,1.22514,0.63713,0.99152,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,98.7506,1.20359,0.71412,1.00432,0.97856,0.96941,0.95747,0.63388,1.22259,0.62036,0.98816,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,101.55,1.21034,0.71485,0.99275,0.97749,0.96941,0.95718,0.62775,1.24767,0.62219,0.99604,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,104.31,1.20277,0.70731,0.99287,0.97771,0.96941,0.95722,0.62376,1.21126,0.64885,0.99307,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,107.07,1.21798,0.72023,1.00772,0.97845,0.96941,0.95544,0.63204,1.20544,0.6298,0.98728,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,109.869,1.20787,0.70311,1.00078,0.97893,0.96941,0.9557,0.62549,1.208,0.61133,0.9908,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,112.635,1.21668,0.71124,0.99356,0.97891,0.96941,0.95789,0.62764,1.214,0.58072,0.99007,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,115.379,1.19556,0.69981,0.98838,0.97876,0.96941,0.95687,0.62887,1.18695,0.57651,0.99108,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,118.16,1.21362,0.69373,0.99887,0.97837,0.96941,0.95931,0.63137,1.19101,0.58944,0.9904,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,120.917,1.20423,0.68713,0.99251,0.97865,0.96941,0.95652,0.62814,1.19767,0.57315,0.99013,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,123.679,1.21104,0.68919,0.99918,0.97927,0.96941,0.95609,0.6251,1.22648,0.58382,0.99074,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,126.488,1.19948,0.68034,0.98383,0.97872,0.96941,0.95703,0.62863,1.20063,0.5807,0.991,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,129.239,1.21359,0.69597,1.00434,0.97911,0.96941,0.95508,0.62271,1.22345,0.60258,0.9967,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
47,132.02,1.21657,0.70076,0.9985,0.97874,0.96941,0.95674,0.63153,1.21918,0.57363,0.99521,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
48,134.785,1.19743,0.67952,1.00816,0.97889,0.96941,0.95399,0.63159,1.19977,0.56361,0.98962,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375,0.00200512,0.000668375
49,137.548,1.19141,0.68074,0.9956,0.97834,0.96941,0.95745,0.63256,1.21371,0.5554,0.99728,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
50,140.328,1.21832,0.68522,1.00093,0.97815,0.96941,0.95393,0.62562,1.213,0.55419,0.99161,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625,0.00193088,0.000643625
51,143.1,1.22079,0.70141,0.99869,0.97868,0.96941,0.95178,0.62511,1.22573,0.57419,0.99728,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
52,145.869,1.20982,0.68466,1.00109,0.9786,0.96941,0.95283,0.62106,1.21244,0.5657,0.99487,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875,0.00185662,0.000618875
53,148.615,1.18114,0.66463,0.99415,0.97906,0.96941,0.95316,0.61463,1.22629,0.55261,0.99815,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
54,151.362,1.17794,0.65958,0.99007,0.9792,0.96941,0.95559,0.62387,1.22001,0.54225,0.99547,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125,0.00178237,0.000594125
55,154.116,1.20447,0.67932,0.99627,0.97953,0.96941,0.95464,0.61767,1.22371,0.55212,0.99679,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
