epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.03793,1.41898,3.31917,1.45174,0.00609,0.83333,0.0085,0.00436,1.62453,3.45248,1.83481,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05
2,4.37553,1.41274,3.37129,1.46911,0.00641,0.91667,0.06384,0.02902,1.39869,3.12432,1.42604,0.000445634,0.000148545,0.000445634,0.000148545,0.000445634,0.000148545,0.000445634,0.000148545
3,5.30515,1.3516,3.32452,1.39861,0.00693,1,0.09615,0.0752,1.2285,2.94278,1.18349,0.000686277,0.000228759,0.000686277,0.000228759,0.000686277,0.000228759,0.000686277,0.000228759
4,6.18218,1.32422,3.22221,1.36443,0.00669,1,0.16986,0.13487,1.1962,2.94143,1.11484,0.000921969,0.000307323,0.000921969,0.000307323,0.000921969,0.000307323,0.000921969,0.000307323
5,7.11125,1.25055,3.17262,1.32571,0.00667,1,0.48702,0.40898,1.10517,2.90164,1.04236,0.00115271,0.000384237,0.00115271,0.000384237,0.00115271,0.000384237,0.00115271,0.000384237
6,7.91522,1.18083,3.06147,1.27596,0.00668,1,0.50149,0.40245,1.10871,2.89579,1.04284,0.0013785,0.0004595,0.0013785,0.0004595,0.0013785,0.0004595,0.0013785,0.0004595
7,8.78139,1.11471,3.00302,1.21566,0.00668,1,0.50187,0.41282,1.09923,2.84676,1.05133,0.00159934,0.000533113,0.00159934,0.000533113,0.00159934,0.000533113,0.00159934,0.000533113
8,9.59454,1.05552,2.89271,1.15402,0.00668,1,0.50178,0.39836,1.02808,2.82093,1.00266,0.00181523,0.000605076,0.00181523,0.000605076,0.00181523,0.000605076,0.00181523,0.000605076
9,10.4424,0.95451,2.78755,1.09558,0.00667,1,0.50169,0.36432,1.00271,2.83369,0.93661,0.00202617,0.000675388,0.00202617,0.000675388,0.00202617,0.000675388,0.00202617,0.000675388
10,11.2509,0.96927,2.62765,1.08197,0.00668,1,0.50231,0.38585,1.05536,2.73948,0.96569,0.00223215,0.00074405,0.00223215,0.00074405,0.00223215,0.00074405,0.00223215,0.00074405
11,12.0713,1.04693,2.52047,1.13482,0.00667,1,0.5519,0.38899,1.02349,2.63581,0.90295,0.00243319,0.000811062,0.00243319,0.000811062,0.00243319,0.000811062,0.00243319,0.000811062
12,12.8665,0.94256,2.38038,1.07335,0.96706,0.5,0.62824,0.45423,0.96483,2.42648,0.83793,0.00262927,0.000876424,0.00262927,0.000876424,0.00262927,0.000876424,0.00262927,0.000876424
13,13.6525,0.96361,2.27298,1.06185,0.98093,0.5,0.59226,0.45098,0.94788,2.37379,0.84166,0.0028204,0.000940135,0.0028204,0.000940135,0.0028204,0.000940135,0.0028204,0.000940135
14,14.452,0.84174,2.08552,0.99156,0.99183,0.5,0.65461,0.45786,1.01631,2.237,0.85414,0.00300659,0.0010022,0.00300659,0.0010022,0.00300659,0.0010022,0.00300659,0.0010022
15,15.2711,0.87378,1.99902,1.00289,0.9957,0.5,0.69008,0.48374,1.05891,2.1142,0.83591,0.00318782,0.00106261,0.00318782,0.00106261,0.00318782,0.00106261,0.00318782,0.00106261
16,16.0166,0.79089,1.70171,0.95887,0.99664,0.5,0.74625,0.54735,1.02465,1.99906,0.81723,0.0033641,0.00112137,0.0033641,0.00112137,0.0033641,0.00112137,0.0033641,0.00112137
17,16.8386,0.84511,1.55815,1.02557,0.80278,0.5,0.995,0.79078,0.84726,1.62713,0.77706,0.00353543,0.00117848,0.00353543,0.00117848,0.00353543,0.00117848,0.00353543,0.00117848
18,17.6027,0.78995,1.45214,0.98065,0.73709,1,0.995,0.77935,0.83257,1.46752,0.78024,0.00370181,0.00123394,0.00370181,0.00123394,0.00370181,0.00123394,0.00370181,0.00123394
19,18.3912,0.79638,1.20587,0.9724,0.95125,1,0.995,0.77875,0.838,1.24321,0.80127,0.00386323,0.00128774,0.00386323,0.00128774,0.00386323,0.00128774,0.00386323,0.00128774
20,19.1918,0.92259,1.26532,1.03826,0.99178,1,0.995,0.7586,0.98989,0.93932,0.86228,0.00401971,0.0013399,0.00401971,0.0013399,0.00401971,0.0013399,0.00401971,0.0013399
