epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,20.73,1.02742,2.64123,1.13877,0.95425,1,0.995,0.78038,0.88083,1.19724,0.78561,0.00165322,0.000551074,0.00165322,0.000551074,0.00165322,0.000551074,0.00165322,0.000551074
2,37.3401,0.70475,0.92739,0.90622,0.99306,1,0.995,0.81922,0.69839,0.54952,0.77054,0.00328735,0.00109578,0.00328735,0.00109578,0.00328735,0.00109578,0.00328735,0.00109578
3,53.1879,0.63819,0.68498,0.87185,0.99418,1,0.995,0.83428,0.71492,0.44094,0.77578,0.00488848,0.00162949,0.00488848,0.00162949,0.00488848,0.00162949,0.00488848,0.00162949
4,68.9022,0.6074,0.61928,0.86421,0.99489,1,0.995,0.82469,0.74943,0.44447,0.79319,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
5,84.7085,0.57155,0.5657,0.85925,0.9931,1,0.995,0.82965,0.66103,0.3759,0.78045,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
6,100.325,0.55587,0.528,0.85533,0.99339,1,0.995,0.86683,0.5443,0.34493,0.75121,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
7,115.951,0.53654,0.49148,0.85118,0.99565,1,0.995,0.86173,0.63815,0.36188,0.77069,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
8,132.075,0.52678,0.46742,0.85243,0.9954,1,0.995,0.85635,0.57529,0.34705,0.75913,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
9,147.916,0.52586,0.45206,0.85124,0.99537,1,0.995,0.88598,0.5307,0.30322,0.75376,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
10,163.534,0.51373,0.43188,0.84803,0.99482,1,0.995,0.87517,0.60873,0.32967,0.76801,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
11,179.229,0.50929,0.41502,0.84835,0.99257,1,0.995,0.87419,0.54415,0.31785,0.75928,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
12,194.684,0.50353,0.40438,0.84958,0.99452,1,0.995,0.85044,0.59801,0.29831,0.75632,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546,0.00445639,0.00148546
13,209.656,0.50045,0.38732,0.8477,0.99549,1,0.995,0.8921,0.55689,0.28217,0.75075,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
14,224.724,0.49215,0.37585,0.84834,0.99549,1,0.995,0.85869,0.53871,0.27295,0.76185,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246,0.00435737,0.00145246
15,240.3,0.49098,0.36803,0.84401,0.99515,1,0.995,0.85443,0.6095,0.29597,0.76619,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
16,255.451,0.48563,0.35753,0.84635,0.99504,1,0.995,0.85779,0.58994,0.26101,0.77319,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
17,270.595,0.48616,0.35178,0.84449,0.99533,1,0.995,0.87654,0.53567,0.26984,0.76139,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
18,285.689,0.48212,0.34309,0.84519,0.99547,1,0.995,0.8734,0.58336,0.24753,0.76736,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644,0.00415933,0.00138644
19,300.829,0.48047,0.33497,0.84198,0.99418,1,0.995,0.8652,0.58699,0.26828,0.76086,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
20,315.929,0.47602,0.32999,0.8452,0.9956,1,0.995,0.85727,0.5976,0.2487,0.76765,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344,0.00406031,0.00135344
21,331.085,0.46798,0.31927,0.84222,0.99548,1,0.995,0.86537,0.56081,0.27628,0.76649,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
22,346.214,0.47204,0.31874,0.84373,0.99501,1,0.995,0.86457,0.57631,0.25011,0.76701,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
23,361.323,0.46582,0.31069,0.84092,0.99542,1,0.995,0.86191,0.56409,0.25787,0.7749,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
