epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.56705,2.66535,4.80474,1.94222,0,0,0,0,2.95101,4.49902,2.53592,0,0,0,0,0,0,0,0
2,5.97682,2.69459,4.88824,2.24429,0,0,0,0,2.9338,4.49683,2.52853,3.67575e-05,1.22525e-05,3.67575e-05,1.22525e-05,3.67575e-05,1.22525e-05,3.67575e-05,1.22525e-05
3,6.26105,2.81812,4.88982,2.26464,0,0,0,0,2.91593,4.48934,2.51401,7.203e-05,2.401e-05,7.203e-05,2.401e-05,7.203e-05,2.401e-05,7.203e-05,2.401e-05
4,6.5258,2.85552,5.12364,2.09412,0,0,0,0,2.89383,4.49269,2.50692,0.000105818,3.52725e-05,0.000105818,3.52725e-05,0.000105818,3.52725e-05,0.000105818,3.52725e-05
5,6.77653,2.86742,4.84079,2.16303,0,0,0,0,2.86947,4.48797,2.49443,0.00013812,4.604e-05,0.00013812,4.604e-05,0.00013812,4.604e-05,0.00013812,4.604e-05
6,7.02041,2.63698,4.72595,2.05354,0,0,0,0,2.83486,4.49024,2.48195,0.000168938,5.63125e-05,0.000168938,5.63125e-05,0.000168938,5.63125e-05,0.000168938,5.63125e-05
7,7.25256,3.04137,4.94187,2.4482,0,0,0,0,2.80334,4.48975,2.47202,0.00019827,6.609e-05,0.00019827,6.609e-05,0.00019827,6.609e-05,0.00019827,6.609e-05
8,7.69737,2.49057,5.09675,1.92547,0,0,0,0,2.7587,4.48872,2.45299,0.000226117,7.53725e-05,0.000226117,7.53725e-05,0.000226117,7.53725e-05,0.000226117,7.53725e-05
9,8.0468,2.60464,4.80642,1.86263,0,0,0,0,2.71621,4.47876,2.43277,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05,0.00025248,8.416e-05
10,8.41374,2.7977,4.84177,2.12659,0,0,0,0,2.66975,4.47475,2.40629,0.000277358,9.24525e-05,0.000277358,9.24525e-05,0.000277358,9.24525e-05,0.000277358,9.24525e-05
11,8.73689,2.54649,4.88636,1.85471,0,0,0,0,2.67327,4.47241,2.402,0.00030075,0.00010025,0.00030075,0.00010025,0.00030075,0.00010025,0.00030075,0.00010025
12,9.09558,2.59546,4.8041,1.96825,0,0,0,0,2.61757,4.46691,2.37759,0.000322658,0.000107553,0.000322658,0.000107553,0.000322658,0.000107553,0.000322658,0.000107553
13,9.45961,2.76433,4.74131,2.21299,0,0,0,0,2.5946,4.46375,2.35844,0.00034308,0.00011436,0.00034308,0.00011436,0.00034308,0.00011436,0.00034308,0.00011436
14,9.83152,2.52503,4.95185,1.9485,0,0,0,0,2.5522,4.46519,2.33578,0.000362018,0.000120672,0.000362018,0.000120672,0.000362018,0.000120672,0.000362018,0.000120672
15,10.1824,2.43251,4.89959,1.8053,0,0,0,0,2.53587,4.46212,2.32201,0.00037947,0.00012649,0.00037947,0.00012649,0.00037947,0.00012649,0.00037947,0.00012649
16,10.5426,2.7239,4.71623,2.2374,0,0,0,0,2.56455,4.44767,2.30352,0.000395437,0.000131813,0.000395437,0.000131813,0.000395437,0.000131813,0.000395437,0.000131813
17,10.9027,2.41031,4.67611,1.77942,0,0,0,0,2.55708,4.43062,2.27581,0.00040992,0.00013664,0.00040992,0.00013664,0.00040992,0.00013664,0.00040992,0.00013664
18,11.2054,2.2639,4.77172,1.68954,0,0,0,0,2.55708,4.43062,2.27581,0.000422917,0.000140972,0.000422917,0.000140972,0.000422917,0.000140972,0.000422917,0.000140972
19,11.5622,2.23182,4.81034,1.68519,0,0,0,0,2.54316,4.4183,2.23463,0.00043443,0.00014481,0.00043443,0.00014481,0.00043443,0.00014481,0.00043443,0.00014481
20,11.8697,2.41592,4.72839,1.89534,0,0,0,0,2.54316,4.4183,2.23463,0.000444458,0.000148153,0.000444458,0.000148153,0.000444458,0.000148153,0.000444458,0.000148153
21,12.225,2.27266,4.62308,1.66187,0,0,0,0,2.49938,4.41647,2.20185,0.000453,0.000151,0.000453,0.000151,0.000453,0.000151,0.000453,0.000151
22,12.523,2.4645,4.99149,1.80695,0,0,0,0,2.49938,4.41647,2.20185,0.000460057,0.000153353,0.000460057,0.000153353,0.000460057,0.000153353,0.000460057,0.000153353
23,12.8808,2.25577,4.74095,1.79868,0,0,0,0,2.42549,4.41828,2.16594,0.00046563,0.00015521,0.00046563,0.00015521,0.00046563,0.00015521,0.00046563,0.00015521
24,13.1874,2.23608,4.66572,1.85843,0,0,0,0,2.42549,4.41828,2.16594,0.000469718,0.000156573,0.000469718,0.000156573,0.000469718,0.000156573,0.000469718,0.000156573
25,13.55,2.29828,4.6422,1.86803,0,0,0,0,2.35453,4.41151,2.13408,0.00047232,0.00015744,0.00047232,0.00015744,0.00047232,0.00015744,0.00047232,0.00015744
26,13.8547,2.27002,4.62028,1.76788,0,0,0,0,2.35453,4.41151,2.13408,0.000473438,0.000157812,0.000473438,0.000157812,0.000473438,0.000157812,0.000473438,0.000157812
27,14.2241,2.1224,4.75973,1.60494,0,0,0,0,2.18811,4.38966,2.06828,0.00047307,0.00015769,0.00047307,0.00015769,0.00047307,0.00015769,0.00047307,0.00015769
28,14.5365,2.19701,4.68041,1.68911,0,0,0,0,2.18811,4.38966,2.06828,0.000471217,0.000157072,0.000471217,0.000157072,0.000471217,0.000157072,0.000471217,0.000157072
29,14.8982,2.0137,4.58882,1.5953,0,0,0,0,2.10427,4.33982,1.9778,0.00046788,0.00015596,0.00046788,0.00015596,0.00046788,0.00015596,0.00046788,0.00015596
