epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.31148,2.49657,4.55326,2.13245,0.00139,0.20539,0.00113,0.00052,1.8074,3.89073,1.80371,0.00098601,0.00032867,0.00098601,0.00032867,0.00098601,0.00032867,0.00098601,0.00032867
2,15.4618,1.34797,3.97248,1.34774,0.00603,0.60241,0.01089,0.0058,0.99589,3.45973,1.07196,0.001975,0.000658332,0.001975,0.000658332,0.001975,0.000658332,0.001975,0.000658332
3,22.4477,0.98832,3.10564,0.99699,0.01,0.97222,0.55036,0.39525,0.97372,2.9108,0.97654,0.00292324,0.000974412,0.00292324,0.000974412,0.00292324,0.000974412,0.00292324,0.000974412
4,29.3473,0.94247,1.69013,0.93873,0.99843,0.97222,0.96851,0.77311,0.87348,0.94458,0.96352,0.00383073,0.00127691,0.00383073,0.00127691,0.00383073,0.00127691,0.00383073,0.00127691
5,36.2286,0.90181,1.21639,0.93634,0.99923,0.97222,0.96847,0.77298,0.85217,0.86098,0.96215,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,43.0825,0.87704,1.02487,0.91356,0.99833,0.97222,0.96852,0.76996,0.83978,0.84246,0.9538,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,49.9414,0.84063,0.94363,0.92325,0.9985,0.97222,0.97763,0.78736,0.80995,0.67884,0.9552,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,56.7605,0.82537,0.88329,0.91464,0.99879,0.97222,0.98883,0.80151,0.7903,0.65933,0.9436,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,63.6114,0.78373,0.82426,0.90934,0.99903,0.97222,0.98923,0.80204,0.77104,0.65123,0.94296,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,70.4823,0.80762,0.77991,0.90663,0.99899,0.97222,0.98897,0.79984,0.77172,0.59829,0.94226,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,77.3261,0.77323,0.76086,0.89687,0.99931,0.97265,0.98941,0.76291,0.80406,0.60463,0.93989,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,84.1725,0.77065,0.73455,0.88796,0.99902,0.97222,0.9882,0.79095,0.77237,0.61322,0.93971,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,91.0441,0.78878,0.71755,0.89996,0.99958,0.97271,0.98925,0.80792,0.75694,0.56862,0.94106,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,97.8932,0.77232,0.69941,0.89403,0.99895,0.97222,0.98935,0.80477,0.71109,0.55757,0.94973,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,104.767,0.75294,0.68022,0.89187,0.99871,0.97222,0.98927,0.8106,0.73885,0.56738,0.94079,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,111.605,0.74992,0.67495,0.89198,0.99881,0.97222,0.98803,0.79024,0.74099,0.5195,0.93626,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,118.581,0.75414,0.66711,0.89251,0.99875,0.97222,0.98896,0.79688,0.71992,0.5237,0.93725,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,125.49,0.76057,0.65875,0.88919,0.99882,0.97222,0.98967,0.80273,0.73136,0.53364,0.92752,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,132.376,0.72083,0.63658,0.88024,0.99879,0.97222,0.98867,0.80836,0.73231,0.52335,0.93246,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,139.298,0.74507,0.63691,0.89678,0.99856,0.97222,0.98856,0.80689,0.74676,0.53473,0.93149,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,146.174,0.75066,0.62607,0.88774,0.99881,0.97222,0.98803,0.81237,0.74571,0.51877,0.93036,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,153.069,0.72554,0.60654,0.8892,0.99898,0.97222,0.98833,0.80582,0.72346,0.51443,0.92692,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,159.98,0.7266,0.60941,0.88549,0.99896,0.97222,0.98842,0.81568,0.7068,0.5096,0.92653,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,166.851,0.70569,0.59889,0.88175,0.99874,0.97222,0.98874,0.81683,0.70551,0.51877,0.92116,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,173.774,0.72236,0.5928,0.88578,0.99897,0.97222,0.98899,0.81751,0.69114,0.51661,0.91624,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,180.717,0.71715,0.58512,0.87775,0.99891,0.97222,0.98873,0.80906,0.70672,0.49262,0.91806,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,187.595,0.71844,0.58946,0.88562,0.99897,0.97222,0.98857,0.80617,0.6993,0.49015,0.9189,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,194.468,0.72079,0.58776,0.88591,0.99887,0.97222,0.98784,0.80171,0.6992,0.47655,0.92047,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,201.408,0.69506,0.57388,0.8794,0.99844,0.97222,0.98837,0.80769,0.7029,0.49128,0.92206,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,208.337,0.72084,0.57443,0.89002,0.99894,0.97222,0.98832,0.81023,0.68635,0.47424,0.91448,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,215.258,0.71202,0.57354,0.8822,0.99889,0.97222,0.98819,0.8073,0.67816,0.45855,0.91707,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,222.093,0.73266,0.56853,0.89061,0.99907,0.97222,0.98829,0.8082,0.69218,0.49265,0.91311,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,229.006,0.72936,0.57057,0.88466,0.99895,0.97222,0.98789,0.81236,0.68991,0.46845,0.91528,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,235.924,0.72323,0.56588,0.88183,0.99906,0.97222,0.9882,0.81106,0.68802,0.47941,0.9202,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,242.879,0.71472,0.55881,0.88002,0.99917,0.97222,0.98793,0.80853,0.69054,0.48413,0.92085,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,249.778,0.70268,0.55313,0.88029,0.99895,0.97222,0.98764,0.81072,0.69806,0.46942,0.92063,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,256.684,0.70189,0.55019,0.88039,0.99882,0.97222,0.98787,0.80633,0.68037,0.46991,0.91658,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,263.585,0.73284,0.56044,0.88733,0.99846,0.97222,0.9877,0.8136,0.70045,0.47103,0.91604,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,270.491,0.68585,0.53895,0.8835,0.99883,0.97222,0.98774,0.81463,0.68253,0.45776,0.91917,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,277.378,0.69173,0.54323,0.88241,0.99905,0.97222,0.98763,0.81914,0.69124,0.4819,0.91894,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
