epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.1911,2.8663,4.87451,2.02815,0.00349,0.52652,0.003,0.00148,1.682,3.68506,1.34147,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344,0.00160032,0.00053344
2,19.7019,1.72576,3.99935,1.27432,0.00658,0.98485,0.0344,0.01698,1.35434,3.33909,1.04826,0.00318629,0.0010621,0.00318629,0.0010621,0.00318629,0.0010621,0.00318629,0.0010621
3,28.9342,1.51508,2.75642,1.0704,0.71827,0.952,0.88355,0.48668,1.45919,2.24951,1.05643,0.0047069,0.00156897,0.0047069,0.00156897,0.0047069,0.00156897,0.0047069,0.00156897
4,38.2347,1.46217,1.69449,1.03433,0.97817,0.99713,0.995,0.62777,1.39493,1.25871,1.02679,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,47.7621,1.35745,1.33081,1.00844,0.99837,0.94603,0.97695,0.52645,1.71125,1.57556,1.09361,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,56.9047,1.33917,1.21173,1.00074,1,0.95729,0.99344,0.58306,1.46243,1.06574,1.06084,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,66.1126,1.32528,1.14504,0.98715,0.99604,1,0.995,0.60545,1.3366,0.77219,1.05615,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,75.3727,1.2526,1.04245,0.98697,0.99668,0.99226,0.995,0.66881,1.26502,0.64437,1.01372,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,84.5536,1.23932,0.98103,0.98451,0.99742,1,0.995,0.67042,1.30335,0.6405,1.0268,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,93.7263,1.20031,0.92937,0.97737,0.99931,1,0.995,0.68581,1.21921,0.64816,1.00419,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,102.878,1.17058,0.93605,0.96299,0.99811,1,0.995,0.69328,1.20505,0.61556,0.9993,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,112.09,1.15954,0.87501,0.96278,0.99899,1,0.995,0.7099,1.2323,0.63368,1.0087,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,121.64,1.13745,0.84486,0.96226,0.99616,1,0.995,0.721,1.13603,0.62311,0.99478,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
