epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.64794,3.50152,6.43181,2.11771,0.0019,0.57143,0.00196,0.00047,3.14942,4.83397,1.73121,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054
2,16.8656,2.09035,4.69174,1.26051,0.00333,1,0.01309,0.00609,1.42371,3.88143,1.03168,0.0031911,0.0010637,0.0031911,0.0010637,0.0031911,0.0010637,0.0031911,0.0010637
3,24.9171,1.47532,2.7949,1.00671,0.9966,1,0.995,0.47696,1.7086,2.53259,1.20564,0.00465132,0.00155044,0.00465132,0.00155044,0.00465132,0.00155044,0.00465132,0.00155044
4,32.8273,1.34854,1.86067,0.99691,1,0.99304,0.995,0.66455,1.22328,2.36046,0.96651,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
5,40.9294,1.27025,1.58005,0.99313,0.99931,1,0.995,0.67442,1.27625,1.15054,1.03601,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
6,48.8592,1.24159,1.41047,0.986,0.99944,1,0.995,0.61485,1.28473,1.02652,1.04793,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
7,56.7465,1.22582,1.32029,0.99258,0.99948,1,0.995,0.71426,1.09235,0.99841,0.97059,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
8,64.61,1.18256,1.20648,0.97625,0.99947,1,0.995,0.72484,1.11676,0.88519,0.98077,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
9,72.5362,1.16657,1.11086,0.97025,0.99949,1,0.995,0.72607,1.1165,0.77316,0.95965,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
10,80.4366,1.13741,1.04865,0.95708,0.99948,1,0.995,0.69539,1.14122,0.71595,0.96629,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
11,88.3683,1.07587,0.95703,0.95034,0.99949,1,0.995,0.7174,1.02441,0.71132,0.92847,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
12,96.2583,1.04841,0.93628,0.94022,0.99947,1,0.995,0.75283,0.98834,0.59208,0.92127,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
13,104.239,1.05174,0.92924,0.94241,0.9995,1,0.995,0.77246,1.00903,0.56303,0.92052,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
14,112.135,1.00799,0.878,0.91995,0.99947,1,0.995,0.71813,1.04398,0.6148,0.92804,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
15,120.028,1.0495,0.86288,0.94738,0.99949,1,0.995,0.74466,1.00668,0.54073,0.91592,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
16,127.928,0.98272,0.80231,0.913,0.99943,1,0.995,0.76961,0.9318,0.48079,0.90092,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
17,135.894,1.00272,0.77406,0.93073,0.99938,1,0.995,0.76816,0.95783,0.5217,0.90025,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
18,143.833,0.97388,0.76978,0.92102,0.99942,1,0.995,0.77034,0.93208,0.48759,0.90188,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
19,151.768,0.90403,0.75173,0.90224,0.99943,1,0.995,0.78376,0.8755,0.47908,0.88696,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
20,159.754,0.99085,0.75468,0.92338,0.99943,1,0.995,0.79054,0.8403,0.47264,0.86959,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
21,167.121,1.05796,1.16388,0.93256,0.99925,1,0.995,0.79869,0.85853,0.59054,0.86037,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
22,174.393,0.98912,1.11407,0.90358,0.99935,1,0.995,0.78629,0.85848,0.51478,0.86725,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
23,181.624,0.96335,1.02508,0.91542,0.99942,1,0.995,0.7839,0.85042,0.46845,0.86971,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
24,188.844,0.93743,1.02285,0.9142,0.99943,1,0.995,0.78426,0.89566,0.4573,0.87486,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
25,196.079,0.95229,0.98859,0.89107,0.99939,1,0.995,0.80559,0.85373,0.48312,0.86742,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
26,203.277,0.9309,1.0062,0.89079,0.99936,1,0.995,0.79945,0.81448,0.47514,0.85824,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
27,210.526,0.90468,0.95189,0.90768,0.99942,1,0.995,0.81443,0.79768,0.47474,0.85647,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
28,217.731,0.92831,0.90795,0.91072,0.9994,1,0.995,0.80613,0.79093,0.46268,0.85468,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
29,224.935,0.93235,0.93703,0.90967,0.99935,1,0.995,0.79593,0.80895,0.44123,0.85523,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
30,232.141,0.91308,0.90516,0.91454,0.99937,1,0.995,0.79557,0.81398,0.43728,0.85567,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
