epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.13079,2.63657,5.79312,1.5301,0.00072,0.21698,0.00055,7e-05,2.72701,5.3644,1.74816,0.0015,0.0005,0.0015,0.0005,0.0015,0.0005,0.0015,0.0005
2,15.6909,2.07118,4.41947,1.2084,0.00333,1,0.01104,0.00587,1.69079,4.07484,1.08755,0.00299941,0.000999804,0.00299941,0.000999804,0.00299941,0.000999804,0.00299941,0.000999804
3,23.1641,1.75756,2.58384,1.13108,0.00958,1,0.995,0.56176,1.50702,2.96309,1.03909,0.00443705,0.00147902,0.00443705,0.00147902,0.00443705,0.00147902,0.00443705,0.00147902
4,30.5038,1.58789,1.9842,1.06057,0.00333,1,0.99481,0.41467,1.78498,2.93036,1.16127,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,37.7941,1.4617,1.80643,1.03541,0.99816,1,0.995,0.52929,1.31035,1.75434,1.02669,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,45.0964,1.45098,1.60789,1.03283,0.99805,1,0.995,0.60216,1.42159,1.39485,1.04833,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,52.311,1.41286,1.55354,1.02055,0.9991,1,0.995,0.5647,1.42288,1.36037,1.04982,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,59.5947,1.39679,1.48158,1.04197,0.99896,1,0.995,0.61971,1.36399,1.00751,1.01689,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,66.8437,1.36765,1.36787,0.99507,0.99937,1,0.995,0.61327,1.3544,0.91645,1.03002,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,74.119,1.33721,1.35145,1.00141,0.99925,1,0.995,0.61187,1.26394,0.89208,0.97719,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,81.3547,1.36435,1.26538,1.0037,0.99927,1,0.995,0.59664,1.31758,0.92687,0.99634,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,88.6442,1.30466,1.1702,0.99908,0.99939,1,0.995,0.58122,1.29019,0.81182,0.99329,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,95.8643,1.30102,1.16218,0.98308,0.99913,1,0.995,0.59294,1.25991,0.91022,0.98073,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,103.161,1.2871,1.17944,0.98563,0.99926,1,0.995,0.59498,1.32285,0.87852,1.01415,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,110.378,1.29638,1.14099,1.00425,0.99915,1,0.995,0.56984,1.29255,0.80845,1.00386,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,117.679,1.29399,1.11693,0.9906,0.99918,1,0.995,0.57578,1.299,0.83943,1.00984,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,124.957,1.28788,1.07633,0.98272,0.99918,1,0.995,0.57773,1.27734,0.86401,1.00018,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,132.242,1.25923,1.10679,0.97199,0.99905,1,0.995,0.59888,1.24533,0.90256,0.98383,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,139.448,1.28577,1.05297,0.97899,0.99926,1,0.995,0.60813,1.28014,0.86617,0.98784,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,146.738,1.25886,1.06052,0.98155,0.99931,1,0.995,0.60261,1.34721,0.87106,1.01472,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,154.007,1.26387,1.01877,0.98531,0.99916,1,0.995,0.59241,1.3272,0.84943,1.01089,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,161.254,1.27216,1.03543,0.99172,0.99918,1,0.995,0.61387,1.24296,0.88576,0.98648,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,168.485,1.20863,1.01582,0.96435,0.99889,1,0.995,0.62923,1.20374,0.85668,0.96773,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,175.719,1.25074,0.99136,0.97821,0.99918,1,0.995,0.62327,1.21989,0.83974,0.97247,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,182.949,1.23267,0.97392,0.96531,0.99911,1,0.995,0.62091,1.25081,0.8254,0.96989,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,190.257,1.25395,0.96946,0.96358,0.99922,1,0.995,0.61931,1.25975,0.84176,0.97508,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,197.468,1.24277,1.00183,0.97525,0.9989,1,0.995,0.61137,1.23,0.86541,0.9674,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,204.756,1.22434,0.94326,0.97158,0.99895,1,0.995,0.62174,1.18023,0.85537,0.96295,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,211.996,1.21455,0.93545,0.96626,0.99914,1,0.995,0.62494,1.17509,0.8695,0.95295,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,219.304,1.20204,0.94647,0.95817,0.9987,1,0.995,0.60654,1.17903,0.90746,0.96279,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,226.523,1.25161,0.97106,0.97139,0.99866,1,0.995,0.6164,1.171,0.86873,0.95584,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,233.8,1.1834,0.9423,0.96309,0.9987,1,0.995,0.59227,1.17249,0.86233,0.9579,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,241.038,1.19622,0.94132,0.94925,0.9988,1,0.995,0.5983,1.20268,0.83652,0.97442,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,248.334,1.2279,0.9171,0.97829,0.99898,1,0.995,0.58452,1.20629,0.82244,0.96906,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,255.589,1.21262,0.95332,0.94645,0.99883,1,0.995,0.59299,1.18381,0.81487,0.96376,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,262.885,1.20583,0.92745,0.96992,0.99887,1,0.995,0.60098,1.20444,0.77086,0.96352,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,270.138,1.21045,0.92827,0.96506,0.99889,1,0.995,0.59516,1.22928,0.78603,0.96902,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,277.425,1.25006,0.94358,0.97304,0.99861,1,0.995,0.61182,1.20122,0.78555,0.95765,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,284.679,1.23121,0.90608,0.97618,0.99892,1,0.995,0.57584,1.22234,0.77534,0.97593,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,291.958,1.20165,0.89096,0.94649,0.99889,1,0.995,0.58529,1.18625,0.80231,0.96622,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,298.678,1.24079,1.03904,0.9634,0.99891,1,0.995,0.60946,1.21212,0.76097,0.9668,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,305.348,1.23041,1.00634,0.96369,0.99903,1,0.995,0.60416,1.21167,0.77,0.97347,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,311.944,1.23737,1.04795,0.951,0.99893,1,0.995,0.5982,1.19609,0.79913,0.97085,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,318.592,1.21597,1.00393,0.95643,0.99913,1,0.995,0.60931,1.1968,0.78202,0.9701,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,325.158,1.24338,1.01843,0.96305,0.9991,1,0.995,0.60828,1.19236,0.79537,0.969,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,331.822,1.22972,1.02996,0.96112,0.99852,1,0.995,0.60739,1.18777,0.80853,0.96543,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,338.398,1.18699,1.01202,0.94595,0.99858,1,0.995,0.60918,1.19297,0.79825,0.9648,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,345.048,1.21127,1.01291,0.95083,0.99873,1,0.995,0.6048,1.193,0.80256,0.96565,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,351.636,1.24582,1.00462,0.96836,0.99882,1,0.995,0.6064,1.19253,0.79897,0.96776,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,358.278,1.18813,1.00159,0.95413,0.99883,1,0.995,0.61028,1.19159,0.79581,0.96737,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
