epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.51865,1.44123,3.72847,1.23902,0.00669,1,0.01081,0.00695,1.1949,3.40159,1.24006,0.00115023,0.00038341,0.00115023,0.00038341,0.00115023,0.00038341,0.00115023,0.00038341
2,14.5168,1.05164,3.08235,1.00164,0.00671,1,0.54537,0.4001,0.79659,2.81941,0.97982,0.00230393,0.000767977,0.00230393,0.000767977,0.00230393,0.000767977,0.00230393,0.000767977
3,21.3858,0.91101,1.7837,0.90215,0.99302,1,0.995,0.76443,0.8351,1.34358,0.98059,0.0034101,0.0011367,0.0034101,0.0011367,0.0034101,0.0011367,0.0034101,0.0011367
4,28.1997,0.86446,1.2001,0.87759,0.99369,1,0.995,0.79979,0.79546,1.04874,0.979,0.00446874,0.00148958,0.00446874,0.00148958,0.00446874,0.00148958,0.00446874,0.00148958
5,34.9824,0.86388,1.01832,0.88921,0.99694,1,0.995,0.78356,0.83036,0.71365,0.98816,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,41.7361,0.85035,0.90847,0.88484,0.99847,1,0.995,0.78056,0.80629,0.66221,0.9871,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,48.4903,0.83298,0.87699,0.88894,0.99852,1,0.995,0.80178,0.79948,0.56393,0.98016,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,55.2508,0.83317,0.83807,0.88744,0.99915,1,0.995,0.78498,0.79678,0.54672,0.97842,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,62.0087,0.81693,0.78475,0.8851,0.99922,1,0.995,0.77809,0.87436,0.55246,0.98817,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,68.7568,0.82822,0.769,0.88862,0.99942,1,0.995,0.77664,0.79949,0.53272,0.97579,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,75.5012,0.82869,0.73978,0.88151,0.99922,1,0.995,0.7896,0.8073,0.51292,0.98115,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,82.2893,0.81815,0.71551,0.88715,0.99929,1,0.995,0.78974,0.79537,0.51207,0.97786,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,89.0732,0.82471,0.68953,0.87979,0.99924,1,0.995,0.79689,0.79411,0.5024,0.97869,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
