epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.6107,2.87393,6.12646,1.63468,0.00333,1,0.01028,0.00362,2.3631,4.72802,1.37956,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852,0.00195556,0.000651852
2,24.923,2.0757,3.60554,1.25215,0.93324,1,0.995,0.5956,1.57628,2.80052,1.09737,0.00387724,0.00129241,0.00387724,0.00129241,0.00387724,0.00129241,0.00387724,0.00129241
3,36.4779,1.77929,2.44354,1.13355,0.98358,1,0.995,0.54567,1.40097,1.80471,1.06164,0.00571972,0.00190657,0.00571972,0.00190657,0.00571972,0.00190657,0.00571972,0.00190657
4,47.8146,1.64103,1.99687,1.0755,0.9922,1,0.995,0.44719,1.38997,1.41582,1.05329,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,59.1999,1.54802,1.81076,1.03805,0.9913,1,0.995,0.56626,1.3031,1.13119,1.04124,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,70.984,1.55444,1.62791,1.05052,0.99201,1,0.995,0.63076,1.32756,1.02746,1.05692,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,82.6311,1.51395,1.49684,1.02744,0.98849,1,0.995,0.6108,1.40671,1.06534,1.05399,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,94.3674,1.49959,1.38719,1.0282,0.992,1,0.995,0.59663,1.54984,1.02224,1.11382,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,106.064,1.47993,1.27243,1.02502,0.99134,1,0.995,0.61289,1.35723,1.06132,1.0462,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,117.703,1.46352,1.24675,1.02249,0.99136,1,0.995,0.61515,1.41161,0.96966,1.04877,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,129.266,1.45082,1.16814,1.01858,0.99379,1,0.995,0.60835,1.24931,0.95352,1.03014,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,140.963,1.42168,1.13445,1.00888,0.99169,1,0.995,0.64269,1.34706,0.91861,1.03096,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,152.997,1.45081,1.14548,1.02436,0.99277,1,0.995,0.66817,1.1717,0.86268,0.99233,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,164.586,1.44564,1.09097,1.01741,0.99355,1,0.995,0.6422,1.17411,0.87656,0.98302,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,175.815,1.421,1.05386,1.00467,0.9932,1,0.995,0.66077,1.2545,0.81942,0.99956,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,187.148,1.42839,1.02933,1.01079,0.9936,1,0.995,0.60452,1.32916,0.80014,1.0047,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,198.417,1.42459,1.02568,1.01717,0.98967,1,0.995,0.6187,1.29695,0.86655,1.009,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,209.634,1.40407,0.99475,0.99318,0.99246,1,0.995,0.63253,1.35162,0.78198,1.01102,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,220.911,1.42306,0.98033,1.00545,0.99066,1,0.995,0.61709,1.44129,0.89335,1.04259,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,232.269,1.41302,0.9921,1.00856,0.99193,1,0.995,0.58566,1.42349,0.75737,1.03472,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,243.671,1.40341,0.98454,1.00722,0.98778,1,0.995,0.55604,1.57291,0.80119,1.06498,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,255.688,1.4375,0.96214,1.00749,0.99216,1,0.995,0.59546,1.20552,0.8659,0.98876,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,267.661,1.418,0.97585,1.00644,0.99338,1,0.995,0.61466,1.26413,0.7915,1.01067,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,279.003,1.37364,0.93415,0.9955,0.99442,1,0.995,0.66597,1.1781,0.76394,0.98972,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,290.359,1.3808,0.92509,0.98729,0.99482,1,0.995,0.65447,1.12869,0.78737,0.96993,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,301.607,1.40757,0.92572,1.00139,0.99297,1,0.995,0.62808,1.22405,0.78657,1.00473,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,312.816,1.42695,0.9201,0.99181,0.99437,1,0.995,0.65069,1.2479,0.75349,0.99892,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,324.409,1.351,0.91192,0.99335,0.9941,1,0.995,0.59979,1.40466,0.71704,1.03141,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,336.253,1.35681,0.86971,0.98134,0.99399,1,0.995,0.61129,1.32551,0.73812,1.01246,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,348.166,1.38794,0.9143,1.00395,0.99368,1,0.995,0.60141,1.38352,0.77555,1.03877,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,360.134,1.39096,0.92008,0.99124,0.99378,1,0.995,0.6482,1.19947,0.76142,0.9895,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,371.875,1.37299,0.87859,0.98,0.99457,1,0.995,0.65182,1.21893,0.74758,0.98998,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,383.912,1.36155,0.86923,0.98431,0.99424,1,0.995,0.64684,1.33459,0.76812,1.01547,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,395.853,1.36438,0.87513,0.99309,0.99423,1,0.995,0.63104,1.22086,0.74523,0.99419,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,407.958,1.33915,0.8616,0.97997,0.99307,1,0.995,0.64119,1.18149,0.71863,0.99028,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,420.348,1.36035,0.8707,0.97919,0.994,1,0.995,0.64003,1.22158,0.73496,0.9923,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,432.988,1.34643,0.86487,0.98614,0.99465,1,0.995,0.66737,1.22277,0.70008,0.99656,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,445.061,1.37758,0.85048,0.9922,0.99303,1,0.995,0.61869,1.27651,0.73542,1.01076,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
