epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7.30689,2.17715,4.50515,1.58983,0.00509,0.82229,0.00825,0.00508,1.31551,3.51161,1.17853,0.00162823,0.000542744,0.00162823,0.000542744,0.00162823,0.000542744,0.00162823,0.000542744
2,13.7093,1.36116,2.84836,1.04041,0.93829,1,0.9504,0.63665,1.13401,1.50717,0.97764,0.00322999,0.00107666,0.00322999,0.00107666,0.00322999,0.00107666,0.00322999,0.00107666
3,19.8999,1.24232,1.49171,0.96609,0.9404,1,0.9528,0.64321,1.05249,1.19542,0.98322,0.00476573,0.00158858,0.00476573,0.00158858,0.00476573,0.00158858,0.00476573,0.00158858
4,26.0104,1.16303,1.23703,0.95125,0.94019,1,0.95249,0.62715,1.15586,0.85618,1.02213,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
5,32.0959,1.16566,1.1414,0.94592,0.94084,1,0.94507,0.6456,1.08151,0.78558,0.99039,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,38.184,1.16092,1.06099,0.9523,0.94053,1,0.95073,0.63625,1.08912,0.71924,0.98202,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,44.2168,1.14453,1.01718,0.94475,0.94097,1,0.94313,0.63719,1.08418,0.67752,1.01901,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,50.3181,1.13239,0.97179,0.94498,0.94075,1,0.9461,0.62416,1.12203,0.70884,1.01752,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,56.4294,1.1159,0.93274,0.94873,0.94096,1,0.94429,0.60054,1.14806,0.70783,1.02267,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,62.527,1.14569,0.89909,0.95356,0.94099,1,0.95558,0.66206,1.09924,0.66003,1.01526,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,68.5863,1.11893,0.89925,0.9518,0.94082,1,0.95085,0.64277,1.09374,0.61195,1.01577,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,74.7025,1.11506,0.84859,0.95481,0.94104,1,0.95611,0.65723,1.06977,0.59204,1.00515,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
