epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,10.3017,3.00595,6.40415,1.76244,0.00333,1,0.00701,0.00218,2.66236,4.34382,1.42329,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,18.9097,2.09869,4.62478,1.25875,0.00333,1,0.01027,0.00533,1.71357,3.75788,1.03433,0.00350495,0.00116832,0.00350495,0.00116832,0.00350495,0.00116832,0.00350495,0.00116832
3,27.3084,1.70833,2.72191,1.13074,0.00333,1,0.995,0.60006,1.5739,2.64818,1.05381,0.00523427,0.00174476,0.00523427,0.00174476,0.00523427,0.00174476,0.00523427,0.00174476
4,35.633,1.56849,2.16429,1.10335,0.95744,1,0.995,0.56413,1.58263,2.53161,1.11793,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,43.9294,1.41185,1.78397,1.06215,0.98992,1,0.995,0.64795,1.06311,1.29907,0.93377,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,52.236,1.36897,1.61303,1.01947,0.99313,1,0.995,0.60269,1.42377,0.97068,1.03189,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,60.5539,1.3596,1.46293,1.02272,0.99369,1,0.995,0.61113,1.24821,0.83335,0.96926,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,68.885,1.31857,1.36076,0.99614,0.99342,1,0.995,0.66097,1.14352,0.76459,0.94929,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,77.2175,1.27064,1.24394,0.97549,0.99441,1,0.995,0.6125,1.30994,0.65276,0.97905,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,85.4868,1.26053,1.17008,0.99144,0.99347,1,0.995,0.62714,1.42627,0.67606,1.023,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,93.8389,1.24127,1.08443,0.98004,0.99163,1,0.995,0.56473,1.34099,0.68894,0.98669,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,102.214,1.24634,1.0696,0.99789,0.99269,1,0.995,0.69219,1.13475,0.59229,0.92264,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,110.5,1.20274,0.98858,0.97923,0.99294,1,0.995,0.7372,1.06757,0.59648,0.9302,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,118.772,1.22722,0.94968,0.97688,0.99373,1,0.995,0.67729,1.11553,0.57215,0.92863,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,127.107,1.24407,0.92718,0.98381,0.99406,1,0.995,0.67514,1.16336,0.55561,0.94799,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,135.536,1.21386,0.90932,0.9741,0.99273,1,0.995,0.67904,1.12341,0.59961,0.93699,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,144.484,1.20449,0.87843,0.95899,0.99386,1,0.995,0.69258,1.06209,0.53565,0.92799,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,153.732,1.17689,0.85212,0.95307,0.99329,1,0.995,0.6207,1.43583,0.70948,1.0373,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,162.986,1.21045,0.83444,0.95735,0.99361,1,0.995,0.59907,1.53375,0.63781,1.07159,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,172.062,1.19906,0.79203,0.97555,0.99394,1,0.995,0.61603,1.27391,0.57085,0.97596,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,181.529,1.18924,0.78915,0.96504,0.99392,1,0.995,0.59657,1.33219,0.60249,0.99745,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,190.837,1.17048,0.75469,0.95458,0.99298,1,0.995,0.57333,1.44265,0.66822,1.04554,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,200.298,1.17695,0.74386,0.9558,0.99331,1,0.995,0.6658,1.21346,0.55535,0.95061,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,209.72,1.14289,0.74353,0.94111,0.99352,1,0.995,0.68014,1.21612,0.53602,0.95453,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,218.888,1.18188,0.7458,0.96465,0.99336,1,0.995,0.65556,1.25565,0.60202,0.95853,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,226.839,1.18933,0.72894,0.96061,0.99385,1,0.995,0.67677,1.29939,0.53663,0.97162,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,234.698,1.1715,0.69538,0.95771,0.99418,1,0.995,0.61899,1.33912,0.53418,0.98284,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,242.584,1.20179,0.70775,0.96494,0.99337,1,0.995,0.65279,1.16871,0.45457,0.9456,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,250.414,1.13959,0.69692,0.94118,0.99392,1,0.995,0.71859,1.16649,0.42253,0.94208,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,258.302,1.19076,0.68153,0.95725,0.99377,1,0.995,0.69005,1.18673,0.44464,0.94574,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,266.13,1.15282,0.6588,0.94918,0.994,1,0.995,0.6679,1.15696,0.3962,0.93235,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,274.026,1.16103,0.66281,0.95479,0.99385,1,0.995,0.72088,1.08247,0.41835,0.93327,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,281.907,1.12095,0.64338,0.94412,0.99412,1,0.995,0.67929,1.07806,0.42623,0.92617,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,289.789,1.17276,0.66463,0.96239,0.99398,1,0.995,0.67663,1.1322,0.43896,0.92896,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,297.648,1.1636,0.63901,0.94677,0.99417,1,0.995,0.67634,1.15517,0.38564,0.93128,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,305.524,1.14123,0.64391,0.94401,0.99373,1,0.995,0.69381,1.09621,0.39317,0.91571,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,313.432,1.13904,0.63691,0.93545,0.99337,1,0.995,0.658,1.16235,0.49236,0.93997,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,321.52,1.15489,0.62793,0.94667,0.99405,1,0.995,0.73142,1.07554,0.41,0.91134,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,329.353,1.16694,0.63168,0.95146,0.99363,1,0.995,0.69024,1.19806,0.42143,0.94419,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,337.592,1.12252,0.61192,0.9489,0.99367,1,0.995,0.67712,1.13342,0.41043,0.93243,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,345.442,1.13925,0.60782,0.94188,0.99385,1,0.995,0.68162,1.1247,0.4036,0.92661,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,353.326,1.1164,0.58625,0.93527,0.99402,1,0.995,0.65581,1.31846,0.45255,0.98473,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,361.159,1.1245,0.59478,0.9457,0.99382,1,0.995,0.66487,1.30018,0.48487,0.97504,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,369.07,1.08888,0.58493,0.94232,0.99382,1,0.995,0.65624,1.24743,0.41521,0.95636,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,376.907,1.13933,0.59031,0.94268,0.99377,1,0.995,0.63126,1.24311,0.45349,0.96427,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,384.832,1.13445,0.58141,0.95312,0.99338,1,0.995,0.65732,1.3086,0.39683,0.97623,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,392.707,1.13023,0.57841,0.95802,0.9932,1,0.995,0.68809,1.14351,0.40979,0.93519,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,400.649,1.13734,0.57491,0.95612,0.9936,1,0.995,0.70019,1.14654,0.39618,0.93281,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,408.518,1.1311,0.56977,0.95278,0.99359,1,0.995,0.63693,1.44148,0.43137,1.02623,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,416.428,1.13793,0.57618,0.94959,0.99365,1,0.995,0.69724,1.22553,0.42807,0.94556,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,424.232,1.11303,0.56067,0.94193,0.99386,1,0.995,0.66766,1.19842,0.4049,0.93927,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,432.073,1.13254,0.56927,0.93548,0.99338,1,0.995,0.66114,1.18048,0.42902,0.9422,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,439.872,1.12182,0.56709,0.93883,0.99352,1,0.995,0.61353,1.31245,0.49674,0.98529,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,447.738,1.10392,0.5461,0.94258,0.99382,1,0.995,0.67937,1.14454,0.39036,0.93192,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,455.548,1.1231,0.54613,0.93521,0.99377,1,0.995,0.65706,1.17753,0.39161,0.94146,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,463.405,1.13532,0.5525,0.9366,0.9941,1,0.995,0.66275,1.22815,0.39744,0.95913,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,471.181,1.11964,0.55371,0.92571,0.99362,1,0.995,0.63589,1.20274,0.42237,0.94623,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,479.029,1.11071,0.54807,0.93525,0.99375,1,0.995,0.68417,1.22606,0.43093,0.95107,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,486.828,1.11811,0.55692,0.92757,0.99366,1,0.995,0.65555,1.2826,0.40015,0.96553,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,494.67,1.1029,0.54081,0.95326,0.99365,1,0.995,0.68531,1.13935,0.39638,0.93347,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,502.493,1.10134,0.53081,0.93915,0.99415,1,0.995,0.68194,1.22356,0.40465,0.95329,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,510.337,1.08915,0.53023,0.93818,0.9939,1,0.995,0.62546,1.25014,0.47693,0.97201,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,518.159,1.09148,0.52844,0.92698,0.99382,1,0.995,0.64734,1.18398,0.45796,0.95446,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
