epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.00142,2.95167,4.48958,2.17324,0.00616,0.47917,0.03005,0.00847,2.39017,3.92462,1.85069,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
2,15.3987,1.96115,4.07989,1.53991,0.00621,0.5,0.37312,0.14551,1.38224,3.68817,1.07645,0.00211634,0.000705446,0.00211634,0.000705446,0.00211634,0.000705446,0.00211634,0.000705446
3,22.6447,1.47635,3.48245,1.15914,0.00708,0.5,0.4975,0.34032,1.19187,3.19032,0.93679,0.00316114,0.00105371,0.00316114,0.00105371,0.00316114,0.00105371,0.00316114,0.00105371
4,29.8897,1.34745,2.24264,1.13267,0.83165,1,0.995,0.60916,1.25838,1.42238,1.07256,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287,0.00363862,0.00121287
5,37.0993,1.26228,1.548,1.08894,0.97371,1,0.995,0.72876,1.08172,1.06674,0.98598,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,44.3566,1.21279,1.24226,1.07516,0.98941,1,0.995,0.70133,1.04363,0.87491,0.98528,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,51.5542,1.15775,1.0637,1.04589,0.9934,1,0.995,0.72211,1.07266,0.83181,0.99189,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,58.7644,1.10824,0.98162,1.02786,0.99413,1,0.995,0.68685,1.10889,0.74503,1.00217,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,65.9227,1.10209,0.89911,1.0149,0.98758,1,0.995,0.75213,1.03586,0.7047,0.96778,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,73.2333,1.08442,0.85751,1.01215,0.9807,1,0.995,0.72011,1.04227,0.72592,0.96125,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,80.5706,1.08338,0.84528,1.01347,0.98245,1,0.995,0.73115,1.00586,0.6768,0.96009,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,87.8067,1.06744,0.80841,1.00081,0.98886,1,0.995,0.71372,1.02552,0.63641,0.96214,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,94.9694,1.057,0.7861,1.00177,0.98793,1,0.995,0.71904,1.03197,0.65301,0.97064,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
14,102.134,1.06682,0.77044,1.01156,0.98749,1,0.995,0.72858,0.97654,0.61928,0.95394,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
15,109.269,1.04533,0.75369,1.01266,0.98174,1,0.995,0.7309,0.9812,0.59812,0.95435,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
16,116.494,1.0407,0.72897,0.9996,0.9842,1,0.995,0.71431,0.9758,0.60431,0.94672,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
17,123.686,1.04425,0.74498,1.01262,0.9893,1,0.995,0.72627,0.98032,0.56081,0.94981,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
18,130.839,1.02996,0.70646,0.9973,0.98652,1,0.995,0.72154,0.99357,0.56893,0.94138,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
19,138.036,1.05799,0.70731,1.00362,0.9867,1,0.995,0.70479,1.02292,0.58979,0.95406,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
20,145.301,1.03458,0.69199,0.9923,0.98717,1,0.995,0.73421,1.00363,0.57029,0.95478,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
