epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.87811,4.28594,6.48093,3.78139,0,0,0,0,4.15267,6.82231,3.13067,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004,0.0012,0.0004
2,9.63234,2.443,5.44965,2.04817,0,0,0,0,1.59986,4.60902,1.73929,0.00241129,0.000803764,0.00241129,0.000803764,0.00241129,0.000803764,0.00241129,0.000803764
3,13.2738,1.64429,3.93732,1.40839,0.00197,0.92308,0.00732,0.00409,1.46071,3.86853,1.42966,0.00357269,0.0011909,0.00357269,0.0011909,0.00357269,0.0011909,0.00357269,0.0011909
4,17.4709,1.70696,2.49774,1.44021,0.00197,0.92308,0.58395,0.23917,1.70006,3.3415,1.52592,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614,0.00468419,0.0015614
5,20.9391,1.70338,2.00086,1.42836,0.58799,0.92308,0.56084,0.31939,1.40411,2.72399,1.37749,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,24.4715,1.59283,1.84956,1.32767,0.58851,0.92308,0.62019,0.35363,1.42018,2.54551,1.38878,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,28.2203,1.5264,1.73639,1.3187,0.58929,0.92308,0.54758,0.30635,1.55241,2.29979,1.47585,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,31.9816,1.54975,1.6401,1.3038,0.5894,0.92308,0.56147,0.31917,1.49859,2.00877,1.42294,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,35.2254,1.49454,1.50905,1.25819,0.58955,0.92308,0.55663,0.32053,1.47119,1.73855,1.41617,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,38.6199,1.51202,1.45892,1.29865,0.58961,0.92308,0.57119,0.32447,1.46936,1.56448,1.40713,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,42.1612,1.5194,1.33133,1.26552,0.58976,0.92308,0.55678,0.31861,1.49701,1.46043,1.42483,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,46.4678,1.51875,1.2956,1.27257,0.58982,0.92308,0.56769,0.33121,1.41586,1.49137,1.36766,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,50.0829,1.50046,1.20853,1.25813,0.58984,0.92308,0.5561,0.32754,1.40013,1.40804,1.37373,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,53.6601,1.5268,1.25547,1.28174,0.58977,0.92308,0.56626,0.32479,1.45965,1.28248,1.40039,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,57.19,1.53914,1.22496,1.3209,0.58979,0.92308,0.61301,0.34135,1.44142,1.24622,1.39684,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,60.7029,1.49319,1.17996,1.27784,0.58974,0.92308,0.62733,0.35591,1.49516,1.20155,1.40187,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,64.1696,1.50062,1.08815,1.26895,0.58983,0.92308,0.61986,0.36816,1.41135,1.31711,1.36148,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,67.6028,1.50757,1.19009,1.29156,0.58982,0.92308,0.6003,0.34904,1.42163,1.28465,1.36439,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,71.1146,1.50106,1.08489,1.25296,0.58982,0.92308,0.64723,0.38565,1.40125,1.20487,1.35986,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,74.702,1.48941,1.08061,1.23862,0.58982,0.92308,0.61757,0.3597,1.41387,1.17053,1.37297,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,78.1451,1.51135,1.05895,1.26855,0.58984,0.92308,0.64312,0.37952,1.42149,1.21951,1.37206,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,81.6599,1.49119,1.02612,1.25802,0.58986,0.92308,0.58495,0.34709,1.38841,1.26055,1.35805,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,85.2123,1.46885,1.02006,1.27301,0.58984,0.92308,0.56718,0.33273,1.44623,1.14699,1.3848,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
