epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.9568,2.15572,8.27645,1.71943,0.00886,0.44455,0.10245,0.03247,1.52355,3.62726,1.23556,0.00110289,0.00036763,0.00110289,0.00036763,0.00110289,0.00036763,0.00110289,0.00036763
2,31.74,1.12622,17.7197,1.08242,0.92203,0.79768,0.75062,0.49041,1.18316,1.95424,1.01379,0.00217006,0.000723352,0.00217006,0.000723352,0.00217006,0.000723352,0.00217006,0.000723352
3,46.0627,0.99378,26.9084,0.98892,0.79887,0.78744,0.93984,0.47722,1.58561,1.66602,1.26898,0.00319322,0.00106441,0.00319322,0.00106441,0.00319322,0.00106441,0.00319322,0.00106441
4,59.9853,0.99412,29.2638,0.9761,0.90498,0.98795,0.94214,0.62645,1.06022,1.11677,0.98298,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
5,73.9077,0.96951,32.7904,0.9623,0.90471,0.99768,0.9394,0.6459,0.99855,1.10237,0.98279,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
6,87.8279,0.94637,34.6347,0.95541,0.90593,1,0.92755,0.64168,1.01837,1.07031,0.98316,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
7,101.776,0.93219,35.1086,0.9601,0.90646,1,0.94025,0.64605,0.98655,1.03883,0.97069,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
8,115.742,0.92846,36.7525,0.95279,0.90593,0.99923,0.93909,0.64198,1.00519,1.10745,0.98065,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
9,130.314,0.92637,37.8876,0.9524,0.90684,1,0.93106,0.65013,0.98945,1.12652,0.96861,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
10,144.333,0.91903,36.238,0.94834,0.90685,1,0.93543,0.65923,0.97375,1.03759,0.96987,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
11,158.354,0.92198,34.8799,0.94585,0.90655,1,0.94212,0.65353,0.99002,1.04907,0.96836,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
12,172.31,0.92338,35.2458,0.95371,0.90643,1,0.93272,0.65455,0.96242,1.04336,0.96403,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
13,186.228,0.92167,36.4508,0.95189,0.90649,1,0.92503,0.65469,0.95023,1.12602,0.95132,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
14,200.168,0.9143,36.7414,0.94621,0.90671,1,0.92662,0.66761,0.96146,1.05962,0.957,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
15,214.104,0.90831,35.9575,0.94669,0.90628,1,0.91625,0.66156,0.92221,0.97418,0.94266,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
16,228.084,0.90629,35.0827,0.93999,0.90649,1,0.93073,0.66833,0.96562,1.00651,0.95237,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
17,242.067,0.90097,37.8165,0.94607,0.90652,1,0.93363,0.68798,0.91052,1.00637,0.93076,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
18,256.021,0.8996,36.1118,0.94148,0.90672,1,0.9171,0.67758,0.90328,0.96854,0.93152,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
19,269.998,0.89303,36.0865,0.9358,0.9065,1,0.93149,0.6881,0.89985,0.96929,0.92756,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
20,283.921,0.88089,35.5408,0.9316,0.90645,1,0.92759,0.68315,0.91002,0.92053,0.93227,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
21,297.811,0.88743,35.9666,0.93707,0.90661,1,0.93435,0.69303,0.89608,0.88208,0.92755,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
