epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.24518,3.13121,5.54993,2.3047,0,0,0,0,0,60.2969,0,0.00039996,0.00013332,0.00039996,0.00013332,0.00039996,0.00013332,0.00039996,0.00013332
2,4.06927,3.02365,5.32737,2.2128,0,0,0,0,0,60.2969,0,0.000825001,0.000275,0.000825001,0.000275,0.000825001,0.000275,0.000825001,0.000275
3,5.87914,2.63237,7.78932,1.96999,0,0,0,0,0,60.2969,0,0.00124146,0.000413821,0.00124146,0.000413821,0.00124146,0.000413821,0.00124146,0.000413821
4,7.64881,2.30627,7.18329,1.78434,0,0,0,0,0,60.2969,0,0.00164935,0.000549782,0.00164935,0.000549782,0.00164935,0.000549782,0.00164935,0.000549782
5,9.36682,2.32767,5.028,1.84826,0,0,0,0,0,60.2969,0,0.00204865,0.000682883,0.00204865,0.000682883,0.00204865,0.000682883,0.00204865,0.000682883
6,11.1584,2.04828,4.78998,1.67621,0,0,0,0,0,59.9062,0,0.00243937,0.000813124,0.00243937,0.000813124,0.00243937,0.000813124,0.00243937,0.000813124
7,12.8527,1.81257,4.53688,1.51918,0,0,0,0,0,59.0469,0,0.00282152,0.000940506,0.00282152,0.000940506,0.00282152,0.000940506,0.00282152,0.000940506
8,14.6453,1.66287,4.29916,1.42076,0,0,0,0,0,53.5781,0,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,16.3683,1.5479,4.18514,1.32374,0,0,0,0,0,57.6562,0,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,18.1205,1.34324,4.76419,1.25392,0,0,0,0,0,63.0938,0,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,19.941,1.35029,4.05755,1.22135,0,0,0,0,0,77.6719,0,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,21.7365,1.24916,3.73707,1.16255,0,0,0,0,0,121.375,0,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,23.4827,1.23103,3.37215,1.143,0,0,0,0,0,220.938,0,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,25.2378,1.2294,3.25885,1.12364,0,0,0,0,0,224,0,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,26.9821,1.20406,3.56358,1.12285,0,0,0,0,0,202.5,0,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,28.7612,1.15585,2.95241,1.09747,0,0,0,0,0,168,0,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,30.5238,1.16041,3.24864,1.11103,0,0,0,0,0,161.594,0,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,32.278,1.15726,3.10344,1.09812,0,0,0,0,0,116.844,0,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,34.0093,1.0322,2.72158,1.03519,0,0,0,0,0,113.406,0,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,35.7941,1.08138,2.67773,1.03884,0,0,0,0,0,161.75,0,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,37.5284,1.07732,2.67308,1.05692,0,0,0,0,0,123.188,0,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,39.2801,1.05822,2.62868,1.01924,0,0,0,0,0,143.969,0,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,41.0448,1.05357,2.45861,1.04034,0,0,0,0,0,143.062,0,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
24,42.8264,1.08494,2.36932,1.03398,0,0,0,0,0,155.719,0,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025
25,44.5948,0.96589,3.02746,0.99731,0,0,0,0,0,138.188,0,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
26,46.4521,0.98832,2.21356,1.00716,0,0,0,0,0,115.406,0,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027
